Category,Companies,Description,Additional Info,Location,City,Additional Info 2,Contact,Companies_full,url,Latitude,Longitude,Latitude_City,Longitude_City
Cell and Tissue repositories,Queensland Tissue Bank,,https://metrosouth.health.qld.gov.au/news/queensland-tissue-bank-now-the-largest-and-most-diverse-tissue-bank-in-australia,,Brisbane,,,,https://metrosouth.health.qld.gov.au/news/queensland-tissue-bank-now-the-largest-and-most-diverse-tissue-bank-in-australia,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Royal Brisbane & Womens Hospital,,"virus specific T cells, CAR T, T cells Multiple Schlerosis, hemophilia GT, allo CAR T, allo CAR NK, GMP dermal grafting",,Brisbane,"Prof Rajiv Khanna, Dr Siok Tey, Jason Brown","Prof Rajiv Khanna, Dr Siok Tey, Jason Brown",,,46.3144754,11.0480288,46.3144754,11.0480288
Approved commercial treatment centres,Royal Brisbane & Women's Hospital,,,,Brisbane,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Royal Brisbane Hospital,,MSC,,Brisbane,Christopher James,Christopher James,,,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Sartorius,"growth factors, cytokines, media, process development, bioreactor, fill-finish",https://www.sartorius.com/en,,Brisbane,,Ali Abdelghany,,https://www.sartorius.com/en,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,TissueGnostics,"spatial phenotyping, single cell analysis, molecular single cell profiling, machine-learning based tissue classification",https://tissuegnostics.com/,,Brisbane,,,,https://tissuegnostics.com/,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,University of Queensland,"brain imaging, National biologics facility",David Reutens,,Brisbane,,,,,46.3144754,11.0480288,46.3144754,11.0480288
,Sanofi ANZ,,,"87 Yarraman Place, Virginia QLD 4014",Brisbane,,,Sanofi ANZ,,-27.37971,153.0616824,46.3144754,11.0480288
,Corematic,,,"4/26 Navigator Place, Hendra QLD 4011",Brisbane,,,Corematic,https://corematic.com.au/,-27.4139572,153.074922,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,QIMR Berghofer Medical Research Institute,,virus specific T cells,"300 Herston Road, Herston, Queensland 4006",Brisbane,Prof Rajiv Khanna,Prof Rajiv Khanna,,,-27.4495774,153.0274297,46.3144754,11.0480288
,Intellect Labs Pty Ltd,,,"36 Agnes Street, Fortitude Valley QLD 4006 Australia",Brisbane,,,Intellect Labs Pty Ltd,https://intellectlabs.com.au/,-27.4577045,153.0309402,46.3144754,11.0480288
,RSM Australia,,,"Level 6/340 Adelaide St, Brisbane City QLD 4000",Brisbane,,,RSM Australia,,-27.4627801,153.0319501,46.3144754,11.0480288
,Prime Accounting and Business Advisory Pty Ltd,,,"Level 6/100 Creek Street, Brisbane QLD 4000",Brisbane,,,Prime Accounting and Business Advisory Pty Ltd,,-27.4636472,153.0279861,46.3144754,11.0480288
,Abacus dx Pty Ltd,,,"34 Corporate Drive, Cannon Hill, QLD, 4170",Brisbane,,,Abacus dx Pty Ltd,https://www.abacusdx.com/,-27.4674704,153.0905045,46.3144754,11.0480288
,Resolian Bioanalytics,,,"34 Corporate Dr, Cannon Hill QLD 4170",Brisbane,,,Resolian Bioanalytics,https://www.resolian.com/,-27.4674704,153.0905045,46.3144754,11.0480288
,Davies Collison Cave,,,"Level 10, 301 Coronation Drive, Milton QLD 4064",Brisbane,,,Davies Collison Cave,,-27.4767745,153.0013527,46.3144754,11.0480288
Research facilities,Queensland University of Technology,,,"2 George St, Brisbane, QLD 4000",Brisbane,,,,,-27.4777825,153.0277244,46.3144754,11.0480288
,The Institute for Molecular Biosciences - The University of Queensland,,,"The University of Queensland, Brisbane QLD 4072 Australia",Brisbane,,,The Institute for Molecular Biosciences - The University of Queensland,http://imb.uq.edu.au/,-27.49741805,153.0131696,46.3144754,11.0480288
,Protagonist Pty Ltd,,,"306 Carmody Road, St Lucia, Brisbane Qld 4072 AUSTRALIA",Brisbane,,,Protagonist Pty Ltd,http://www.protagonist-inc.com/,-27.4979508,153.010404,46.3144754,11.0480288
,360biolabs Pty Ltd,,,"37 Kent St, Woolloongabba, QLD, 4102",Brisbane,,,360biolabs Pty Ltd,,-27.498964,153.0316378,46.3144754,11.0480288
,Life Sciences Queensland Ltd (LSQ),,,"37 Kent Street, Woolloongabba, Queensland 4102",Brisbane,,,Life Sciences Queensland Ltd (LSQ),http://www.lsq.com.au/,-27.498964,153.0316378,46.3144754,11.0480288
,Oroborus Pty Ltd,,,"37 Kent Street, Woolloongabba Queensland 4102, Australia",Brisbane,,,Oroborus Pty Ltd,https://oroborus.com.au/,-27.498964,153.0316378,46.3144754,11.0480288
,Translational Research Institute Australia,,,"37 Kent Street, Woolloongabba QLD 4102, AUSTRALIA",Brisbane,,,Translational Research Institute Australia,http://www.tri.edu.au/,-27.498964,153.0316378,46.3144754,11.0480288
,Agilex Biolabs Pty Ltd,,,"2404 Logan Road, Eight Mile Plains QLD 4113",Brisbane,,,Agilex Biolabs Pty Ltd,,-27.5725597,153.0914631,46.3144754,11.0480288
,Cook Medical,,,"95 Brandl Street, Eight Mile Plains, Brisbane, QLD 4113, AUSTRALIA",Brisbane,,,Cook Medical,https://www.cookmedical.com.au/,-27.57759465,153.0989119,46.3144754,11.0480288
non TGA licensed phase 0/1 manufacture facilities,Southern RNA,pDNA and mRNA manufacture,https://southernrna.com.au/,"6 Yoga Wy, Springfield Central QLD 4300",Brisbane,,Steven Krause,,https://southernrna.com.au/,-27.6813589,152.9009639,46.3144754,11.0480288
,Bionics Queensland,,,,Brisbane,,,Bionics Queensland,http://www.bionicsqueensland.com.au/,46.3144754,11.0480288,46.3144754,11.0480288
,Department of Environment and Science (QLD),,,,Brisbane,,,Department of Environment and Science (QLD),http://www.des.qld.gov.au/,46.3144754,11.0480288,46.3144754,11.0480288
,Griffith Institute for Drug Discovery,,,,Brisbane,,,Griffith Institute for Drug Discovery,https://www.griffith.edu.au/institute-drug-discovery,46.3144754,11.0480288,46.3144754,11.0480288
,"Griffith University, Griffith Enterprise",,,,Brisbane,,,"Griffith University, Griffith Enterprise",http://www.griffith.edu.au/,46.3144754,11.0480288,46.3144754,11.0480288
,"Institute for Molecular Bioscience, The University of Queensland",,,,Brisbane,,,"Institute for Molecular Bioscience, The University of Queensland",,46.3144754,11.0480288,46.3144754,11.0480288
TGA licensed GMP facilities (and process development),Royal Brisbane and Women's,,,,Brisbane,,Cheryl Hutchins,,,46.3144754,11.0480288,46.3144754,11.0480288
Process development only facilities,University of Queensland/CCRM Australia,ESTABLISHING,,,Brisbane,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Advanced Robotics for Manufacturing Hub (ARM Hub),"Robotics, AI and design-led manufacturing",https://armhub.com.au/,Brisbane,Brisbane,,,,https://armhub.com.au/,-27.4689682,153.0234991,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Concr,AI/machine learning diagnostics,https://concr.co/,Brisbane,Brisbane,,,,https://concr.co/,-27.4689682,153.0234991,46.3144754,11.0480288
TGA licensed GMP facilities (and process development),Patheon by Thermo Fisher,GMP licenses are for biologics not for cell therapy or gene therapy production yet,,Brisbane,Brisbane,,,,,-27.4689682,153.0234991,46.3144754,11.0480288
Approved commercial treatment centres,Cairns commercial site,,,,Cairns,,,,,46.3144754,11.0480288,46.3144754,11.0480288
,"Australian National University (ANU), Office of Research and Innovation Services",,,,Canberra,,,"Australian National University (ANU), Office of Research and Innovation Services",,46.3144754,11.0480288,46.3144754,11.0480288
Approved commercial treatment centres,Canberra commercial site,,,,Canberra,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,Medicines Australia,Member organisation for research-based pharmaceutical industry of Australia,https://www.medicinesaustralia.com.au/,,Canberra,,Anne-Maree Englund,,https://www.medicinesaustralia.com.au/,46.3144754,11.0480288,46.3144754,11.0480288
Process development only facilities,Phenomics Australia,,https://phenomicsaustralia.org.au/,,Canberra,,,,https://phenomicsaustralia.org.au/,46.3144754,11.0480288,46.3144754,11.0480288
,Nexus APAC,,,"10 Bourke St, Barton ACT 2600",Canberra,,,Nexus APAC,https://nexusapac.com.au/,-35.3114188,149.1338071,46.3144754,11.0480288
Government representatives,ACT,,Federal Department of Health and Aged Care,,Canberra,Technology Assessment & Access,David Laffan,,,46.3144754,11.0480288,46.3144754,11.0480288
Government representatives,ACT,,"Department of Industry, Science, Energy and Resources",,Canberra,"Deputy Secretary, Industry and Commercialisation",Julia Pickworth,,,46.3144754,11.0480288,46.3144754,11.0480288
,Catalyst Clinical Research,,,"6 Post Office Square, Clinton, CT 06413",Clinton,,,Catalyst Clinical Research,,41.27875675,-72.52724246,41.27875675,-72.52724246
Approved commercial treatment centres,Darwin commercial site.,,,,Darwin,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Non cell therapy manufacture applications,AusGeneX,research and diagnostics bovine serum products,https://www.ausgenex.com/,,Gold Coast,,,,https://www.ausgenex.com/,46.3144754,11.0480288,46.3144754,11.0480288
Companies developing Advanced Medicines,Cancure,allogeneic T cell immunotherapy,https://cancure.com/,,Gold Coast,,Craig Miles,,https://cancure.com/,46.3144754,11.0480288,46.3144754,11.0480288
Approved commercial treatment centres,Hobart commercial site,,,,Hobart,,,,,46.3144754,11.0480288,46.3144754,11.0480288
,Davies Collison Cave,,,"24 Davey Street, Hobart Tasmania 7000",Hobart,,,Davies Collison Cave,,-42.8948219,147.3151339,-42.8948219,147.3151339
,University of Tasmania,,,,Hobart,,,University of Tasmania,http://www.utas.edu.au/,46.3144754,11.0480288,-42.8948219,147.3151339
Approved commercial treatment centres,Alfred Health,,Kymriah for relapsing/refractory acute lymphoblastic leukaemia in those aged 25 and under,,Melbourne,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Approved commercial treatment centres,Alfred Health,,"Yescarta, for treating relapsing/refractory adult diffuse large B-cell lymphoma",,Melbourne,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Approved commercial treatment centres,Alfred Health,,"Tecartus, for treating relapsed/refractory mantle cell lymphoma",,Melbourne,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Alfred Hospital/Health,,"dendritic cells, MSC, Hemophilia GT, T cells Multiple Schlerosis, non-integrating DNA plasmid OA, allo CAR T, non-integrating DNA plasmid neuropathic pain",,Melbourne,"Eric J Gowans, Daniel Chambers, Prof Huyen Tran, Kiren Kresa-Reahl, MD","Eric J Gowans, Daniel Chambers, Prof Huyen Tran, Kiren Kresa-Reahl, MD",,,46.3144754,11.0480288,46.3144754,11.0480288
Companies developing Advanced Medicines,Algorae Pharmaceuticals (formerly Living Cell Technologies),alginate encapsulated  neonatal porcine choroid plexus for parkinsons transplant,https://algoraepharma.com/,,Melbourne,,,,https://algoraepharma.com/,46.3144754,11.0480288,46.3144754,11.0480288
Clinical CRO,Alithia Life Sciences Pty Ltd,,https://alithialifesciences.com/,,Melbourne,,Tina Soulis,Alithia Life Sciences Pty Ltd,http://www.alithialifesciences.com/,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,AusBiotech,industry body representing and advocating for organisations doing business in and with the global life sciences economy.,https://www.ausbiotech.org/,,Melbourne,,Marguerite???? Evans?Galea,,https://www.ausbiotech.org/,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Austin Hospital,,CAR T,,Melbourne,Jane Olearo,Jane Olearo,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Avenue Private Hospital,,ligament stem cell,,Melbourne,A/Prof Eugene Ek,A/Prof Eugene Ek,,,46.3144754,11.0480288,46.3144754,11.0480288
Cell and Tissue repositories,BMDI Cord Blood Bank (AusCord),,,,Melbourne,,Ngaire Elwood,,,46.3144754,11.0480288,46.3144754,11.0480288
Companies developing Advanced Medicines,Cartherics,iPSC derived CAR T,www.cartherics.com,,Melbourne,,Nicholas Boyd,,www.cartherics.com,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,CCRM Australia,"accelerates regenerative medicine commercialisation by connecting stakeholders, providing funding, expertise, and access to cutting-edge process development and manufacturing facilities.",https://ccrmaustralia.com.au/,,Melbourne,,Silvio Tiziani,,https://ccrmaustralia.com.au/,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,Cell and Gene Therapy Catalyst,accelerate Australias cell and gene industry and ensure everyone in Australia has access to advanced therapeutics,https://www.ausbiotech.org/programs/australias-cell-and-gene-catalyst,,Melbourne,,Marguerite???? Evans?Galea,,https://www.ausbiotech.org/programs/australias-cell-and-gene-catalyst,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Celleo,"GMP equipment for formulation, fill finish, bioreactor development",https://celleo.com/,,Melbourne,,David Kneen,,https://celleo.com/,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Centre for Eye Research Australia,,,,Melbourne,,Keith Martin,,,46.3144754,11.0480288,46.3144754,11.0480288
Clinical CRO,Charles river laboratories (acquired Microgenetix 2018),"microbial detection/identification, endoxtoxin, NGS",https://www.criver.com/microbial-solutions-facility-melbourne-australia,,Melbourne,,Jeremy White,,https://www.criver.com/microbial-solutions-facility-melbourne-australia,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,CSIRO,"scientific research organisations, dedicated to addressing Australia's most pressing challenges.",https://www.csiro.au/,,Melbourne,,Susie Nilsson,,https://www.csiro.au/,46.3144754,11.0480288,46.3144754,11.0480288
Companies developing Advanced Medicines,Currus Biologics,CAR T,https://www.currusbio.com/,,Melbourne,,Sam Cobb,,https://www.currusbio.com/,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Dandenong Hospital,,human amnion epithelial cells,,Melbourne,Dr Rebecca Lim,Dr Rebecca Lim,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Emeritus Research,,MSC,,Melbourne,"Donna Skerrett, Stephen Hall","Donna Skerrett, Stephen Hall",,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Epworth Richmond Hospital,,ligament stem cell,,Melbourne,A/Prof Eugene Ek,A/Prof Eugene Ek,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Florey Institute of Neuroscience,,,,Melbourne,,Clare Parish,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Footscray Hospital,,iPSC-MSC,,Melbourne,"Jolanta Airey, MD","Jolanta Airey, MD",,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,GSK Investigational site,,"Adoptive cell therapy, engineered T cells",,Melbourne,Jayesh Desai,Jayesh Desai,,,46.3144754,11.0480288,46.3144754,11.0480288
non TGA licensed phase 0/1 manufacture facilities,Hudson Institute Cell Therapy and Regenerative Medicine Platform (Hudson Institute),,cord blood for preterm cerebral palsy (Monash),,Melbourne,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Hudson Institute of Medical Research,b thalassemia gene therapy,"Alan Trounson, Jim Vadolas",,Melbourne,,Alan Trounson,,,46.3144754,11.0480288,46.3144754,11.0480288
Commercialisation strategy,Increment4 Pty. Ltd.,,https://www.linkedin.com/company/increment4/,,Melbourne,,Gerry McKiernan,,https://www.linkedin.com/company/increment4/,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,Jumar Bioincubator,connect early-stage and scaling biotech ventures with the support they need to progress discoveries towards real-world treatments and therapies.,https://www.jumarbio.com/,,Melbourne,,Camille Shanahan,,https://www.jumarbio.com/,46.3144754,11.0480288,46.3144754,11.0480288
,"La Trobe University, Innovation & Commercialisation",,,,Melbourne,,,"La Trobe University, Innovation & Commercialisation",http://www.latrobe.edu.au/researchers/innovation-commercialisation,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,Melbourne Academic Centre for Health,,https://machaustralia.org/,,Melbourne,,Lauren Wallis,,https://machaustralia.org/,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Melbourne Children's Trial Centre (MCTC),,,,Melbourne,Andrew Davidson,Andrew Davidson,,,46.3144754,11.0480288,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Messenger Bio,mRNA synthesis for preclinical discovery,https://www.messenger.bio/,,Melbourne,,Denzil Furtado,,https://www.messenger.bio/,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Monash Childrens Hospital,,umbilical cord derived cells,,Melbourne,Dr Atul Malhotra,Dr Atul Malhotra,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Monash Medical Centre,,"human amnion epithelial cells, MSC",,Melbourne,"Dr Rebecca Lim, Prof Thanh Phan, Roger Brown, K Segal, PhD","Dr Rebecca Lim, Prof Thanh Phan, Roger Brown, K Segal, PhD",,,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,Monash Partners,,https://monashpartners.org.au/,,Melbourne,,Angela Jones,,https://monashpartners.org.au/,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Monash RNA,,https://www.monash.edu/mrna,,Melbourne,,,,https://www.monash.edu/mrna,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,Monash Training Centre for mRNA,,https://www.monash.edu/mrna-workforce-training-centre/about,,Melbourne,,Jennifer Short,,https://www.monash.edu/mrna-workforce-training-centre/about,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Monash University,"clinical quality registers, T-regs for lupus, iPSC derived CAR T, mitochondrial transfer","Rasa Ruseckaite, Josh Ooi, Alan Trounson, John Carroll",,Melbourne,,Alan Trounson,,,46.3144754,11.0480288,46.3144754,11.0480288
Supporting initiatives,MTP Connect/ REDI,Australia's Life Sciences Innovation Accelerator to support the medical products sector,https://www.mtpconnect.org.au/,,Melbourne,,Jarrod Belcher,,https://www.mtpconnect.org.au/,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Murdoch Childrens Research Institute,,cord blood MNC for heart,,Melbourne,"Salvatore Pepe and Christian P Brizard, Andrew Davidson","Salvatore Pepe and Christian P Brizard, Andrew Davidson",,,46.3144754,11.0480288,46.3144754,11.0480288
Research facilities,Murdoch Childrens Research Institute (MCRI),,,,Melbourne,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Olivia Newton John Hospital,,virus specific T cells,,Melbourne,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Commercialisation strategy,Paul Fennessy Advisory,,https://www.linkedin.com/in/paul-fennessy-a559061a/?originalSubdomain=au,,Melbourne,,Paul Fennessy,,https://www.linkedin.com/in/paul-fennessy-a559061a/?originalSubdomain=au,46.3144754,11.0480288,46.3144754,11.0480288
Clinical trials of Advanced Medicines,Roche,,https://www.roche-australia.com/,,Melbourne,,Caroline Ryan,,https://www.roche-australia.com/,46.3144754,11.0480288,46.3144754,11.0480288
Approved commercial treatment centres,Royal Childrens Hospital,,Kymriah for relapsing/refractory acute lymphoblastic leukaemia in those aged 25 and under,,Melbourne,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Royal Children's Hospital,,"CAR T, allo CAR T, cord blood MNC for heart, hemophilia GT, GT DMD, GT SMA",,Melbourne,"Rachel Conyers, Theresa Cole, Dr Ian Woodcock","Rachel Conyers, Theresa Cole, Dr Ian Woodcock",,,46.3144754,11.0480288,46.3144754,11.0480288
