"IDENTIFIER","AU APPLICATION NUMBER","SERIAL NUMBER","PCT APPLICATION NUMBER","WIPO APPLICATION NUMBER","TITLE","TYPE","FILING DATE","EARLIEST PRIORITY DATE","STATUS","INVENTORS","APPLICANTS","AGENTS","FIRST IPC MARK"
"2024201603","2024201603","","","","DEVICE WITH SECONDARY DETERMINATION CHAMBER FOR TESTING ANALYTE IN LIQUID SAMPLE","STANDARD","2024-03-12","2023-03-13","FILED","LEI, Siyu; SHEN, Lili; FANG, Jianqiu","Zhejiang Orient Gene Biotech Co., Ltd","Baxter Patent Attorneys Pty Ltd","B01L3/00"
"2024100006","2024100006","","","","Safe and effective method of treating ulcerative colitis with anti-il12/il23 antibody","INNOVATION","2024-02-21","2018-09-24","CERTIFIED","JOHANNS, Jewel; LI, Katherine; MARANO, Colleen; STRAUSS, Richard; ZHANG, Hongyan; ADEDOKUN, Omoniyi; O'BRIEN, Christopher; SHIELDS-TUTTLE, Kimberly","Janssen Biotech, Inc.","Davies Collison Cave Pty Ltd","A61K39/395"
"2024100007","2024100007","","","","Safe and effective method of treating ulcerative colitis with anti-il12/il23 antibody","INNOVATION","2024-02-21","2018-09-24","CERTIFIED","JOHANNS, Jewel; LI, Katherine; MARANO, Colleen; STRAUSS, Richard; ZHANG, Hongyan; ADEDOKUN, Omoniyi; O'BRIEN, Christopher; SHIELDS-TUTTLE, Kimberly","Janssen Biotech, Inc.","Davies Collison Cave Pty Ltd","A61K39/395"
"2024200917","2024200917","","","","DEVICE WITH MULTIPLE TESTING UNITS","STANDARD","2024-02-13","2023-02-15","FILED","SHEN, Lili; FANG, Jianqiu; LI, Gang; ZHOU, Fangli","Zhejiang Orient Gene Biotech Co., Ltd","Baxter Patent Attorneys Pty Ltd","G01N33/50"
"2024200751","2024200751","","","","NOVEL COMPOUND AND USE THEREOF IN TREATING AUTOIMMUNE DISEASES","STANDARD","2024-02-07","2019-10-04","FILED","SEO, Su Kil; JANG, Won Hee; LEE, Soung Min; YOON, Eun Hye; PARK, Ha Young; KIM, Chae Eun","Parenchyma Biotech Inc.","FB Rice Pty Ltd","C07D401/12"
"2024200521","2024200521","","","","Compounds for the treatment of respiratory diseases","STANDARD","2024-01-29","2017-05-03","FILED","Williams, Spencer; Shah, Sayali; Hakki, Zalihe; Stewart, Alastair","Tianli Biotech Pty Ltd","FPA Patent Attorneys Pty Ltd","C07D403/04"
"2024203531","2024203531","","PCT/CN2024/070505","","MICROFLUIDIC CHIP FOR SORTING LIVING CELLS","STANDARD","2024-01-04","2023-06-13","FILED","WU, Yongguang; CHEN, Xiang; ZHENG, Yan; LIU, Mengyu; XIAO, Jianhang; XIE, Longxu","GUANGDONG HYBRIBIO BIOTECH CO., LTD.; GUANGZHOU HYBRIBIO MEDICINE TECHNOLOGY LTD.; HYBRIBIO MEDTECH DEVICE CO., LTD","Madderns Pty Ltd",""
"2024200019","2024200019","","","","Complement factor B inhibitor, and pharmaceutical composition thereof, preparation method therefor and use thereof","STANDARD","2024-01-02","2020-08-07","FILED","LUAN, Linbo; CHEN, Yongkai; WANG, Chaodong","Novartis AG","WRAYS PTY LTD","C07D401/14"
"2023285844","2023285844","","","","Recombinant nucleic acids encoding cosmetic protein(s) for aesthetic applications","STANDARD","2023-12-21","2018-04-27","FILED","KRISHNAN, Suma; PARRY, Trevor; AGARWAL, Pooja","Krystal Biotech, Inc.","Griffith Hack","A61K31/713"
"2023285793","2023285793","","","","Human neuregulin-1 (NRG-1) recombinant fusion protein compositions and methods of use thereof","STANDARD","2023-12-20","2018-04-11","FILED","Li, John; Li, Shengwei; Luo, Dixiang; Wu, Yiran; Zhou, Ming; Zhuang, Xiaolei; Hua, Liang; Luo, Pengyi; Wang, Yang","Salubris (Chengdu) Biotech Co., Ltd.; Salubris Biotherapeutics, Inc.","FPA Patent Attorneys Pty Ltd","C07K14/475"
"2023285724","2023285724","","","","Culturing of human embryonic stem cells at the air-liquid interface for differentiation into pancreatic endocrine cells","STANDARD","2023-12-19","2012-12-31","LAPSED","Rezania, Alireza","Janssen Biotech, Inc.","RnB IP Pty Ltd","C12N5/071"
"2023285720","2023285720","","","","Differentiation of human embryonic stem cells into pancreatic endocrine cells using HB9 regulators","STANDARD","2023-12-19","2012-12-31","LAPSED","Rezania, Alireza","Janssen Biotech, Inc.","RnB IP Pty Ltd","C12N5/071"
"2023285703","2023285703","","","","Tri-segmented Pichinde viruses as vaccine vectors","STANDARD","2023-12-18","2016-05-18","FILED","BONILLA, Weldi; PINSCHEWER, Daniel David; ORLINGER, Klaus","HOOKIPA Biotech GmbH; Universität Basel","Spruson & Ferguson","C12N15/86"
"2023274132","2023274132","","","","BCMA/CD3 and GPRDC5D/CD3 bispecific antibodies for use in cancer therapy","STANDARD","2023-11-29","2018-05-16","FILED","Homer ADAMS; Francois GAUDET; Kris FRERICHS; Niels VAN DE DONK; Christie VERKLEIJ","Janssen Biotech, Inc.; Stichting VUmc","Spruson & Ferguson","A61K39/395"
"2023387768","2023387768","","PCT/CN2023/131489","","TRUNCATED VARICELLA-ZOSTER VIRUS GE PROTEIN AND USE THEREOF","STANDARD","2023-11-14","2023-02-28","FILED","LI, Haiyan; YANG, Jing; CHEN, Xiguang; HU, Xue; XIONG, Yelin; AN, Youcai; LI, Changqing; LU, Yonghong; ZHAO, Debing","AB&B BIO-TECH CO., LTD. JS; YITHER BIOTECH CO., LTD","FB Rice Pty Ltd","C07K14/04"
"2023266233","2023266233","","","","GDF15 fusion proteins and uses thereof","STANDARD","2023-11-13","2016-05-10","FILED","Anthony ARMSTRONG; Judith Ann CONNOR; Jennifer FURMAN; Chichi HUANG; Michael J. HUNTER; Xiefan LIN-SCHMIDT; Serena NELSON; Shamina RANGWALA; Shannon MULLICAN; Jose Antonio CHAVEZ","Janssen Biotech, Inc.","Spruson & Ferguson","C07K14/00"
"2023263479","2023263479","","","","TEST DEVICE","STANDARD","2023-11-08","2022-12-09","FILED","Shujiang WU; Qihui ZHAO; Hui GENG; Liang HONG","Hangzhou Biotest Biotech Co., LTD.","Baxter Patent Attorneys Pty Ltd","B01L3/00"
"2023903544","2023903544","","","","METHODS AND COMPOSITIONS FOR TREATING SKIN","PROVISIONAL","2023-11-03","","WITHDRAWN","","Cellumar Biotech Pty Ltd; Flinders University","Madderns Pty Ltd",""
"2023254982","2023254982","","","","Safe and effective method of treating psoriasis with anti-IL23 specific antibody","STANDARD","2023-10-26","2016-09-30","FILED","RANDAZZO, Bruce; WASFI, Yasmine","Janssen Biotech, Inc.","Spruson & Ferguson","A61P25/00"
"2023903354","2023903354","","","","Antisense oligonucleotides targeting RAGE","PROVISIONAL","2023-10-20","","FILED","Not Given","RAGE Biotech Pty Ltd","FPA Patent Attorneys Pty Ltd",""
"2023903361","2023903361","","","","IMMUNOTHERAPY","PROVISIONAL","2023-10-20","","WITHDRAWN","","Kode Biotech Limited","Parker, Stephen R",""
"2023903272","2023903272","","","","siRNA targeting RAGE","PROVISIONAL","2023-10-12","","FILED","","RAGE Biotech Pty Ltd","FPA Patent Attorneys Pty Ltd",""
"2023248079","2023248079","","","","Specific conjugation linkers, specific immunoconjugates thereof, methods of making and uses such conjugates thereof","STANDARD","2023-10-10","2016-02-04","FILED","ZHAO, Robert Yongxin; YANG, Qingliang; HUANG, Yuanyuan; GAI, Shun; ZHAO, Linyao; YE, Hangbo; GUO, Huihui; TONG, Qianqian; CAO, Minjun; JIA, Junxiang; YANG, Chengyu; LI, Wenjun; ZHOU, Xiaomai; XIE, Hongsheng; LIN, Chen; GUO, Zhixiang; YE, Zhicang","Hangzhou DAC Biotech Co., Ltd; Robert Yongxin ZHAO; Suzhou M-Conj Biotech Co., Ltd.","FB Rice Pty Ltd","C07D339/00"
"2023241335","2023241335","","","","Biosynthesis Of Benzylisoquinoline Alkaloids And Benzylisoquinoline Alkaloid Precursors","STANDARD","2023-10-05","2016-08-09","FILED","Hansen, Esben Halkjaer; Schwab, Markus; Berninger, Philipp; Delgrange, Fanny; Grassinger, Franziska","River Stone Biotech, Inc.","WRAYS PTY LTD","C12N9/04"
"2023241289","2023241289","","","","ASSAY DEVICE AND RECEIVING DEVICE","STANDARD","2023-10-04","2019-07-31","FILED","BAILEY, Todd; HONG, Liang","Premier Biotech, Inc.","Baxter Patent Attorneys Pty Ltd","B01L3/02"
"2023237196","2023237196","","","","Subcutaneous formulations of anti-CD38 antibodies and their uses","STANDARD","2023-09-29","2015-11-03","FILED","JANSSON, Richard; KUMAR, Vineet","Janssen Biotech, Inc.","Spruson & Ferguson","C07K16/28"
"2023902980","2023902980","","","","PLANT BIOSTIMULATING COMPOSITIONS AND USES THEREOF","PROVISIONAL","2023-09-15","","LAPSED","","New Wave Biotech Pty Ltd","Davies Collison Cave Pty Ltd",""
"2023229574","2023229574","","","","MICROFLUIDIC SYSTEM FOR INTRACELLULAR DELIVERY OF MATERIALS AND METHOD THEREFOR","STANDARD","2023-09-15","2019-03-12","FILED","CHUNG, Aram; KANG, Gum-Young; HUR, Jeong Soo","MxT Biotech","Remarkable IP","B01L3/00"
"2023229604","2023229604","","","","BIOACTIVE POLYPEPTIDES FOR IMPROVEMENTS IN PLANT PROTECTION, GROWTH AND PRODUCTIVITY","STANDARD","2023-09-15","2017-07-20","FILED","THOMPSON, Brian; LESLIE, Michelle","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N37/46"
"2023229612","2023229612","","","","BIOACTIVE POLYPEPTIDES FOR IMPROVEMENTS IN PLANT PROTECTION, GROWTH AND PRODUCTIVITY","STANDARD","2023-09-15","2017-07-20","FILED","THOMPSON, Brian; LESLIE, Michelle","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N37/46"
"2023229504","2023229504","","","","SC-beta cells and compositions and methods for generating the same","STANDARD","2023-09-12","2013-06-11","FILED","PETERSON, Quinn P.; PAGLIUCA, Felicia J.; MELTON, Douglas A.; MILLMAN, Jeffrey R.; SEGEL, Michael Saris; GURTLER, Mads; FRYER, Benjamin; REZANIA, Alireza","Janssen Biotech, Inc.; President and Fellows of Harvard College","Spruson & Ferguson","C12N5/00"
"2023226736","2023226736","","","","Methods for promoting plant health using free enzymes and microorganisms that overexpress enzymes","STANDARD","2023-09-07","2016-03-16","FILED","Thompson, Brian M.; Augustin, Jorg","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N25/02"
"2023226745","2023226745","","","","Methods for promoting plant health using free enzymes and microorganisms that overexpress enzymes","STANDARD","2023-09-07","2016-03-16","FILED","Thompson, Brian M.; Augustin, Jorg","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N25/02"
"2023226743","2023226743","","","","Methods for promoting plant health using free enzymes and microorganisms that overexpress enzymes","STANDARD","2023-09-07","2016-03-16","FILED","Thompson, Brian M.; Augustin, Jorg","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N25/02"
"2023226742","2023226742","","","","Methods for promoting plant health using free enzymes and microorganisms that overexpress enzymes ","STANDARD","2023-09-07","2016-03-16","FILED","Thompson, Brian M.; Augustin, Jorg","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N25/02"
"2023902878","2023902878","","","","Methods of producing a biomaterial ","PROVISIONAL","2023-09-07","","LAPSED","","Mycelium Biotech Assets Pty Ltd","Jones Tulloch",""
"2023226740","2023226740","","","","Methods for promoting plant health using free enzymes and microorganisms that overexpress enzymes","STANDARD","2023-09-07","2016-03-16","FILED","Thompson, Brian M.; Augustin, Jorg","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N25/02"
"2023226746","2023226746","","","","Methods for promoting plant health using free enzymes and microorganisms that overexpress enzymes ","STANDARD","2023-09-07","2016-03-16","FILED","Thompson, Brian M.; Augustin, Jorg","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N25/02"
"2023226718","2023226718","","","","Enhanced delivery of drugs to the brain","STANDARD","2023-09-07","2015-09-11","FILED","GLASSY, Mark C.; GUPTA, Rishab K.","Glassy, Mark C.; Gupta, Rishab K.; Nascent Biotech, Inc.","Spruson & Ferguson","C07K16/46"
"2023226725","2023226725","","","","Methods for promoting plant health using free enzymes and microorganisms that overexpress enzymes","STANDARD","2023-09-07","2016-03-16","FILED","Thompson, Brian M.; Augustin, Jorg","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N25/02"
"2023226733","2023226733","","","","Methods for promoting plant health using free enzymes and microorganisms that overexpress enzymes ","STANDARD","2023-09-07","2016-03-16","FILED","Thompson, Brian M.; Augustin, Jorg","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N25/02"
"2023226744","2023226744","","","","Methods for promoting plant health using free enzymes and microorganisms that overexpress enzymes","STANDARD","2023-09-07","2016-03-16","FILED","Thompson, Brian M.; Augustin, Jorg","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N25/02"
"2023226721","2023226721","","","","Methods for promoting plant health using free enzymes and microorganisms that overexpress enzymes","STANDARD","2023-09-07","2016-03-16","FILED","Thompson, Brian M.; Augustin, Jorg","Spogen Biotech Inc.","Pizzeys Patent and Trade Mark Attorneys Pty Ltd","A01N25/02"
"2023222939","2023222939","","","","Compositions and methods for the treatment of autosomal recessive congenital ichthyosis","STANDARD","2023-08-31","2018-04-12","ACCEPTED","KRISHNAN, Suma; AGARWAL, Pooja; FREEDMAN, John C.; O'MALLEY, Mark E.; REGULA, Lauren K.","Krystal Biotech, Inc.","Griffith Hack","C12N15/869"
"2023222879","2023222879","","","","Humanised anti kallikrein-2 antibody","STANDARD","2023-08-30","2013-11-19","FILED","TIMMERMAND, Par Oskar Vilhelmsson; TRAN, Amanda Thuy; STRAND, Sven-Erik; LAMMINMAKI, Urpo Juhani; SJOSTROM, Kjell","Janssen Biotech, Inc.","Spruson & Ferguson","C07K16/00"
