Companies,Companies_full,Website2,Location,
Avatar Brokers Pty. Limited�*special member discount,Avatar Brokers Pty. Limited�*special member discount,,,
Avecho Biotechnology,Avecho Biotechnology,http://www.phosphagenics.com/,"Unit A8, 2A Westall Road, Clayton, VIC, Australia 3168",
Baker Heart & Diabetes Institute,Baker Heart & Diabetes Institute,https://baker.edu.au/,"PO Box 6492, Melbourne Victoria 3004, Australia",
Base Bio Consulting Pty Ltd,Base Bio Consulting Pty Ltd,https://www.basebio.com.au/,,
Bellberry Limited,Bellberry Limited,http://www.bellberry.com.au/,"123 Glen Osmond Road Eastwood Adelaide, South Australia 5063",
,Bellberry Limited,,"Level 39, Rialto South Tower 525 Collins Street, Melbourne Victoria 3000",
Billard Leece Partnership,Billard Leece Partnership,https://www.blp.com.au/,"Level 20/485 La Trobe Street, Melbourne, Victoria�3000",
,Billard Leece Partnership,,"Level 6/72-80 Cooper Street, Surry Hills, NSW 2010",
,Billard Leece Partnership,,"HQ, Level 6, 520 Wickham St, Fortitude Valley QLD�4006",
BioCurate Pty Ltd,BioCurate Pty Ltd,http://www.biocurate.com/,"Level 2, 700 Swanston Street, Carlton Victoria 3053, Australia",
BioDiem Ltd,BioDiem Ltd,http://www.biodiem.com/,"Level 4, 100 Albert Road, South Melbourne, Victoria 3205",
Biointelect Pty Ltd,Biointelect Pty Ltd,http://www.biointelect.com/,"Level 4, 143 Macquarie Street, Sydney NSW Australia 2000",
BiomeBank,BiomeBank,https://www.biomebank.com/,,
BioMelbourne Network,BioMelbourne Network,http://www.biomelbourne.org/,"Level 6, HWT Tower, 40 City Road, Southbank VIC 3006",
Bionics Queensland,Bionics Queensland,http://www.bionicsqueensland.com.au/,,
Bio-Rad Laboratories Pty Ltd,Bio-Rad Laboratories Pty Ltd,http://www.bio-rad.com/,"A.B.N. 27 001 843 803, Unit 1A, 62 Ferndell Street, South Granville NSW 2142, Australia",
Biotech Daily,Biotech Daily,http://www.biotechdaily.com.au/,"PO Box 5000, Carlton,�Victoria, Australia 3053",
BIOTech New Zealand,BIOTech New Zealand,https://biotechnz.org.nz/,BIOTech New Zealand�c/o NZTech�PO Box 302469�North Harbour�Auckland 0751,
BioTech Primer Inc.,BioTech Primer Inc.,http://biotechprimer.com/,,
Biotron Limited,Biotron Limited,http://www.biotron.com.au/,"Suite 3.3, 56 Delhi Road, North Ryde NSW 2113, Australia",
BioScience Managers Pty Ltd,BioScience Managers Pty Ltd,http://www.biosciencemanagers.com/,"BioScience Managers Pty Ltd, Level 5, 45 William Street, MELBOURNE VIC 3000",
Bio101 Group Pty Ltd,Bio101 Group Pty Ltd,https://www.bio101.com/,"Suite 201/697 Burke Road, Camberwell VIC 3124, Australia",
"Bio21 Molecular Science & Biotechnology Institute, University of Melbourne","Bio21 Molecular Science & Biotechnology Institute, University of Melbourne",https://www.bio21.unimelb.edu.au/,"30�Flemington�Road,�Parkville, Melbourne,�Victoria",
Blue Print Life Science Group,Blue Print Life Science Group,http://www.bplifescience.com/,"1180 North Town Center Drive, Suite 100, Las Vegas, Nevada 89144",
Brandon Capital,Brandon Capital,http://www.brandoncapital.vc/,"Level 9, 31 Queen Street, Melbourne VIC 3000",
,Brandon Capital,,"Suite 2.05, 1 York Street, Sydney NSW 2000",
,Brandon Capital,,"1 Letterman Ave, Suite C3-330, San Francisco, CA 94129",
,Brandon Capital,,"The Gridiron Building, 1 Pancras Square, Kings Cross, London N1C 4AG, United Kingdom",
BR-Angels Pty Ltd,BR-Angels Pty Ltd,https://brangels.global/,"538 Funchal Street � 16th Floor, Vila Olimpia � 04551-060, Sao Paulo � SP",
Bridge Investment Research,Bridge Investment Research,https://chriskallos.com.au/,,
Bristol Myers Squibb (Australia) Pty Ltd,Bristol Myers Squibb (Australia) Pty Ltd,http://www.bmsa.com.au/,"Level 2, 4 Nexus Court, Mulgrave VIC 3170",
Brooker Consulting,Brooker Consulting,http://www.brookerconsulting.com.au/,"Level 25, 500 Collins Street, Melbourne VIC 3000",
BSI Group ANZ Pty Ltd,BSI Group ANZ Pty Ltd,https://www.bsigroup.com/en-AU/Medical-Devices/,"Suite 1, Level 1, 54 Waterloo Road, Macquarie Park NSW 2113, Australia",
Burnet Institute,Burnet Institute,http://www.burnet.edu.au/,"85 Commercial Road, Melbourne, Victoria 3004, Australia",
Business Events Sydney,Business Events Sydney,http://www.businesseventssydney.com.au/,"Level 20, 100 William Street, Sydney, NSW, 2011, Australia",
Cambium Bio Limited,Cambium Bio Limited,https://www.cambium.bio/,,
Canary Regulatory Affairs,Canary Regulatory Affairs,https://canaryregulatory.com/,"Level 17, 31 Queen St, Melbourne, VIC 3000",
Cancer Trials Australia,Cancer Trials Australia,http://www.cancertrialsaustralia.com/,"305 Grattan Street, Melbourne, VIC, 3000",
Carina Biotech Limited,Carina Biotech Limited,http://www.carinabiotech.com/,"Level 2, Ian Wark (IW) Building, UniSA Mawson Lakes Campus, Mawson Lakes 5095, South Australia",
Catalyst Clinical Research,Catalyst Clinical Research,https://catalystcr.com/,"2528 Independence Blvd, Suite 100, Wilmington, NC 28412",
,Catalyst Clinical Research,,"6 Post Office Square, Clinton, CT 06413",
,Catalyst Clinical Research,,"303 Wyman Street, Suite 300, Waltham, MA 02451",
,Catalyst Clinical Research,,"Alderley Park, Block 11, Alderley Edge, SK10 4ZF, UK",
,Catalyst Clinical Research,,"Schiphol Boulevard 359, 1118 BJ Schiphol, The Netherlands",
,Catalyst Clinical Research,,"Second Floor, Nila Building, Technopark Campus, Thiruvananthapuram , Kerala 695581",
,Catalyst Clinical Research,,"8B Tower 1, Transasia, Cyber Park Infopark, Phase 2, Kochi, Kerala 682303",
,Catalyst Clinical Research,,"Office 105, Level 10, 222 Exhibition St, Melbourne, Victoria 3000",
CBE Pure Solutions,CBE Pure Solutions,https://cbepuresolutions.com/,"5 William Street, Ferntree Gully VIC Australia 3156 ",
CCRM Australia,CCRM Australia,https://ccrmaustralia.com.au/,,
Cell Therapies,Cell Therapies,http://www.celltherapies.com/,"Level 9, 305 Grattan Street, Melbourne, VIC,3000, Australia",
Cellabs Pty Ltd,Cellabs Pty Ltd,http://www.cellabs.com.au/,"7/27 Dale Street, Brookvale 2100, Sydney, NSW, AUSTRALIA",
Celosia Therapeutics�Pty Ltd,Celosia Therapeutics�Pty Ltd,https://celosiatx.com/,,
Cencora PharmaLex,Cencora PharmaLex,https://www.pharmalex.com/,"Suite 4, Level 10, 1 Chandos Street, St Leonards NSW 2065, Australia",
Centenary Institute,Centenary Institute,http://www.centenary.org.au/,"Building 93 Royal Prince Alfred Hospital, Missenden Rd Camperdown NSW 2050 Australia",
Cerecin�Australia Pty Ltd,Cerecin�Australia Pty Ltd,https://cerecin.com/,"102 Fox Drive, Dandenong 3175, Victoria, Australia",
Certa Therapeutics,Certa Therapeutics,http://www.certatherapeutics.com/,,
Charles River Laboratories Australia Pty Ltd,Charles River Laboratories Australia Pty Ltd,https://www.criver.com/,,
Children�s Medical Research Institute (CMRI),Children�s Medical Research Institute (CMRI),https://www.cmrijeansforgenes.org.au/,"214 Hawkesbury Road, Westmead NSW 2145, Australia",
Chimeric Therapeutics Ltd,Chimeric Therapeutics Ltd,https://chimerictherapeutics.com/,,
Chubb Insurance Australia Limited�*Special member discount,Chubb Insurance Australia Limited�*Special member discount,,,
Clarity Pharmaceuticals,Clarity Pharmaceuticals,http://www.claritypharmaceuticals.com/,"4 Cornwallis Street, National Innovation Centre, Eveleigh 2015 NSW",
CMAX Clinical Research Pty Ltd,CMAX Clinical Research Pty Ltd,http://www.cmax.com.au/,"Ground Floor, 21-24 North Terrace, Adelaide, South Australia 5000",
Cochlear Limited,Cochlear Limited,https://www.cochlear.com/au/en/home,"1 University Avenue, Macquarie University, NSW, 2109, Australia",
"Collaborative Drug Discovery, Inc","Collaborative Drug Discovery, Inc",https://www.collaborativedrug.com/,"718 7th St NW, Washington, DC 20001",
,"Collaborative Drug Discovery, Inc",,"Nine Hills Road, Cambridge, CB2 1GE, United Kingdom",
Commissioning Agents International (Australia) Pty Ltd,Commissioning Agents International (Australia) Pty Ltd,https://cagents.com/,"2601 Fortune Circle East, Suite 301B, Indianapolis, IN 46241 USA",
ConnectBio,ConnectBio,https://www.connectbiopharm.com/about-us/,"12265 El Camino Real, Suite 350, San Diego, CA 92130",
Cook�Medical,Cook�Medical,https://www.cookmedical.com.au/,"95 Brandl Street, Eight Mile Plains, Brisbane, QLD 4113, AUSTRALIA",
Corematic,Corematic,https://corematic.com.au/,"4/26 Navigator Place, Hendra QLD 4011",
Crux Biolabs,Crux Biolabs,http://www.cruxbiolabs.com/,"Building 21, 885 Mountain Highway, Bayswater Victoria 3153�Australia",
,Crux Biolabs,,"Building 2A, Ground Floor, Lakes Business Park, 2-12 Lord Street, Botany NSW 2019�Australia",
Cryosite�Ltd,Cryosite�Ltd,https://cryosite.com/,"13a Ferndell Street, South Granville NSW 2142",
CSIRO,CSIRO,http://www.csiro.au/,,
CSL Limited,CSL Limited,http://www.csl.com.au/,"655 Elizabeth Street, Melbourne, VIC 3000 Australia",
Curtin�University -�School of Pharmacy and Biomedical Sciences,Curtin�University -�School of Pharmacy and Biomedical Sciences,,,
Cyban Pty Ltd,Cyban Pty Ltd,https://www.cyban.com.au/,"L18, 1 Nicholson St, East Melbourne 3002",
Cynata Therapeutics,Cynata Therapeutics,http://cynata.com/,"Level 3, 100 Cubitt Street, Cremorne, Victoria, 3121, AUSTRALIA",
Cytiva,Cytiva,https://www.cytivalifesciences.com/en/au,,
Datapharm Australia Pty Ltd,Datapharm Australia Pty Ltd,http://datapharmaustralia.com/,,
Davies Collison Cave,Davies Collison Cave,http://www.davies.com.au/,"Level 15, 1 Nicholson Street, Melbourne, VIC 3000",
,Davies Collison Cave,,"Level 4, 7 Macquarie Place, Sydney NSW 2000",
,Davies Collison Cave,,"Level 10, 301 Coronation Drive, Milton QLD 4064",
,Davies Collison Cave,,"Level 9, 2 Phillip Law Street New Acton, Canberra ACT 2601",
,Davies Collison Cave,,"The Wentworth Building, Level 2, 300 Murray Street Mall Perth 6000",
,Davies Collison Cave,,"24 Davey Street, Hobart Tasmania 7000",
,Davies Collison Cave,,"Q Building University of Newcastle, 16B Honeysuckle Drive, Newcastle NSW 2300",
,Davies Collison Cave,,"Level 30, Westpac House 91 King William Street, Adelaide SA 5000",
Deakin Research Commercial,Deakin Research Commercial,http://www.deakin.edu.au/,,
Deloitte,Deloitte,https://www2.deloitte.com/au/en/pages/about-deloitte/articles/about-deloitte-australia.html,,
De Motu Cordis Pty Ltd,De Motu Cordis Pty Ltd,http://www.demotucordis.co/,,
Department of Environment and Science (QLD),Department of Environment and Science (QLD),http://www.des.qld.gov.au/,,
"Department of Jobs, Tourism, Science and Innovation�(WA)","Department of Jobs, Tourism, Science and Innovation�(WA)",https://www.wa.gov.au/organisation/department-of-jobs-tourism-science-and-innovation,,
"Department of Jobs, Skills, Industry and Regions (VIC)","Department of Jobs, Skills, Industry and Regions (VIC)",https://djsir.vic.gov.au/what-we-do/industry-and-innovation,,
"Department of State Development, Infrastructure, Local Government & Planning (QLD)","Department of State Development, Infrastructure, Local Government & Planning (QLD)",http://www.dsdmip.qld.gov.au/,,
Diagnostic Technology Pty Ltd,Diagnostic Technology Pty Ltd,https://www.diagnostictechnology.com.au/,"Suite 45, 7 Narabang Way, Belrose, NSW, 2085, Australia",
Dimerix Limited,Dimerix Limited,http://dimerix.com/,"425 Smith Street, Fitzroy VIC, 3065 Australia",
DLA Piper Australia,DLA Piper Australia,https://www.dlapiper.com/,,
DMTC Ltd,DMTC Ltd,https://dmtc.com.au/,"Level 1, 620 High Street, Kew VIC� 3101",
Doherty Clinical Trials Ltd,Doherty Clinical Trials Ltd,https://www.dohertyclinicaltrials.com/,,
Douglas Pharmaceuticals Ltd,Douglas Pharmaceuticals Ltd,https://www.douglas.co.nz/,"2 Te Pai Pl, Henderson, Auckland 0610, New Zealand",
Return to A-Z,Return to A-Z,https://www.ausbiotech.org/biotechnology-industry/member-directory,,
E&P Financial Group,E&P Financial Group,http://eap.com.au/,"Level 32, 1 O�Connell Street, Sydney NSW 2000",
,E&P Financial Group,,"Level 9, 171 Collins Street, Melbourne VIC 3000",
,E&P Financial Group,,"Level 6, 1 Constitution Avenue, Canberra ACT 2601",
,E&P Financial Group,,"Level 4, 1 Eagle Street, Brisbane QLD 4000",
Emyria Ltd,Emyria Ltd,https://emyria.com/,"D2 661 Newcastle Street, Leederville WA 6007",
ENA Respiratory,ENA Respiratory,https://enarespiratory.com/,,
Encap Solutions Pty Ltd,Encap Solutions Pty Ltd,https://www.encapsolutions.com.au/,"Building 53/11 Julius Ave, North Ryde NSW 2113 Australia",
Endpoints Capital,Endpoints Capital,https://endpointscapital.com.au/,81-83 Campbell Street Surry Hill NSW 2010,
EnGeneIC,EnGeneIC,https://engeneic.com/,"Level 4, Building 53, 11 Julius Avenue, North Ryde, NSW Australia 2113",
EpiAxis TherapeuticsEpichem Pty Ltd,EpiAxis TherapeuticsEpichem Pty Ltd,https://www.epiaxistherapeutics.com/,,
Epichem Pty Ltd,Epichem Pty Ltd,https://epichem.com.au/,"Suite 11, 3 Brodie-Hall Drive, Technology Park, Bentley WA 6102, Australia",
ERA Consulting,ERA Consulting,https://www.biopharma-excellence.com/,,
ESFAM Biotech,ESFAM Biotech,https://esfambiotech.com.au/,"Level 5, Townsend Building, Sudley Road, Heidelberg Victoria 3084, Australia",
Eurofins | ams,Eurofins | ams,http://www.amslabs.com.au/,179 Magowar Road GIRRAWEEN   NSW  2145 ,
Eversana,Eversana,https://www.eversana.com/,"146 Arthur Street,�Suite 902, Level 9,�North Sydney, Australia NSW 2060",
Evrima Technologies Pty Ltd,Evrima Technologies Pty Ltd,https://www.evrima.com/,,
Exigence,Exigence,https://www.exigence.com.au/,"Level 2, 116 Hardware Street Melbourne VIC 3000",
Return to A-Z,Return to A-Z,https://www.ausbiotech.org/biotechnology-industry/member-directory,,
"Facet Life Sciences, inc.","Facet Life Sciences, inc.",http://facetlifesciences.com/,,
FB Rice,FB Rice,http://www.fbrice.com.au/,"Level 33, 477 Collins StreetMelbourne�VIC�3000 Australia",
,FB Rice,,"Level 23, 44 Market StreetSydney�NSW�2000 Australia",
,FB Rice,,"Level 11, 1 Eagle StreetBrisbane�QLD�4000 Australia",
,FB Rice,,"Level 24, 91 King William StreetAdelaide�SA�5000 Australia",
,FB Rice,,"Level 12, 197 St Georges TerracePerth�WA�6000 Australia",
,FB Rice,,"Level 14, 153 Macquarie StParramatta�NSW�2150 Australia",
Fenix Innovation Group,Fenix Innovation Group,https://www.fenixinnovationgroup.com/,"130/45 Gilby Rd., Mount Waverley, VIC 3149 Australia",
Field Orthopaedics Pty Ltd,Field Orthopaedics Pty Ltd,https://fieldorthopaedics.com/,"30 Florence St, Teneriffe QLD Australia 4005",
FivepHusion,FivepHusion,https://fivephusion.com/,,
Formrite Group Pty Ltd,Formrite Group Pty Ltd,https://www.formrite.com.au/,"18/13 Gibbens Rd, ?West Gosford NSW 2250, Australia",
Fortrea,Fortrea,https://www.fortrea.com/,"8 Moore Drive, Durham, NC 27703",
FPA Patent Attorneys,FPA Patent Attorneys,http://www.fpapatents.com/,"Level 19, South Tower, 80 Collins Street, Melbourne VIC 3000",
Franke Hyland,Franke Hyland,http://www.frankehyland.com.au/,"Level 2 of the Hyundai Building, 394 Lane Cove Road, Macquarie Park NSW 2113",
Fuse Recruitment,Fuse Recruitment,https://www.fuserecruitment.com/,"Suite 1, Level 2, 313 Burwood Road, Hawthorn 3122, Victoria",
,Fuse Recruitment,,"Level 14, 32 Smith St, Parramatta 2150, New South Wales",
Garvan Institute of Medical Research,Garvan Institute of Medical Research,https://www.garvan.org.au/,"384 Victoria Street Darlinghurst NSW, Australia 2010",
Genetic Techonologies Ltd,Genetic Techonologies Ltd,http://www.genetype.com/,"60-66 Hanover Street, Fitzroy, Victoria 3065 Australia",
Gertrude Biomedical Pty Ltd,Gertrude Biomedical Pty Ltd,https://www.gertrudebiomed.com/,"30 Flemington Road, Parkville VIC 3052",
Gild Bioscience,Gild Bioscience,https://thegildgroup.com/bioscience/,"PO Box 213, Moorabbin, VIC, 3189",
Ginkgo Bioworks,Ginkgo Bioworks,https://www.ginkgobioworks.com/,"27 Drydock Avenue, 8th Floor, Boston, MA 02210",
GPN Vaccines,GPN Vaccines,https://gpnvaccines.com/,,
Grant Thornton Australia Limited,Grant Thornton Australia Limited,http://www.grantthornton.com.au/en/industries/life-sciences/,"Level 3, 170 Frome Street, Adelaide �SA �5000",
,Grant Thornton Australia Limited,,"Level 18, 145 Ann Street, Brisbane �QLD �4000",
,Grant Thornton Australia Limited,,"Collins Square, Tower 5, Level 22, 727 Collins Street, Melbourne� VIC �3008",
,Grant Thornton Australia Limited,,"Central Park, Level 43,�152 - 158 St Georges Terrace, Perth �WA �6000",
,Grant Thornton Australia Limited,,"Level 13, 15 Lake Street, Cairns QLD 4870",
,Grant Thornton Australia Limited,,"Level 17, 383 Kent Street, Sydney �NSW �2000",
GreenLight Clinical Pty Ltd,GreenLight Clinical Pty Ltd,https://www.greenlightclinical.com/,,
Gretals Australia Pty Ltd,Gretals Australia Pty Ltd,https://www.gretals.com/,,
Grey Wolf Therapeutics Pty Ltd,Grey Wolf Therapeutics Pty Ltd,https://www.greywolftherapeutics.com/,"99 Park Drive, Milton Park, Abingdon, OX14 4RY, UK",
Griffith Hack,Griffith Hack,http://www.griffithhack.com/,"Level 15, 376-390 Collins St, Melbourne VIC 3000",
,Griffith Hack,,"Suite 4.01, Level 4, 100 Arthur Street, North Sydney NSW 2060",
,Griffith Hack,,"Suite 1402 Level 14, 110 Eagle Street, Brisbane QLD 4000",
,Griffith Hack,,"Level 22, 77 St. Georges Terrace, Perth WA 6000",
Griffith Institute for Drug Discovery,Griffith Institute for Drug Discovery,https://www.griffith.edu.au/institute-drug-discovery,,
"Griffith University, Griffith Enterprise","Griffith University, Griffith Enterprise",http://www.griffith.edu.au/,,
HaemaLogiX Pty Ltd,HaemaLogiX Pty Ltd,http://www.haemalogix.com/,"Suite 306, Level 3, 343 George Street, SYDNEY NSW � 2000 Australia",
Hall & Wilcox,Hall & Wilcox,https://hallandwilcox.com.au/,"100 King William Street, Adelaide SA 5000, Australia",
,Hall & Wilcox,,"Level 18, 240 Queen Street, Brisbane QLD 4000 Australia",
,Hall & Wilcox,,"Level 4, 33 Ainslie Place, Canberra ACT 2601 Australia",
,Hall & Wilcox,,"Tenancy A, Ground Floor, 18 Smith Street, Darwin NT 0800 Australia",
,Hall & Wilcox,,"Level 11, Rialto South Tower, 525 Collins Street, Melbourne VIC 3000 Australia",
,Hall & Wilcox,,"Level 4, 400 Hunter Street, Newcastle NSW 2300 Australia",
,Hall & Wilcox,,"Level 19 108 St Georges Terrace, Perth WA 6000 Australia",
,Hall & Wilcox,,"Level 18, 347 Kent Street, Sydney NSW 2000 Australia",
Harvest Integrated Research Organization Australia Pty Limited (HiRO),Harvest Integrated Research Organization Australia Pty Limited (HiRO),https://en.harvestiro.com/,"202 Water St, Excelsior, MN 55331, USA",
,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,"6FJ8+GF3, Nanjing Rd (W), Jing'An, Shanghai, China, 200041",
,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,"No. 5, Zhongxiao E Rd, Zhongzheng District, Taipei City, Taiwan 100",
,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,"20 Customs Street East, Auckland CBD, Auckland 1010, New Zealand",
,Harvest Integrated Research Organization Australia Pty Limited (HiRO),,"5f, 460 Bongeunsa-ro, Gangnam District, Seoul, South Korea",
Health and Medical Industries,Health and Medical Industries,https://dti.sa.gov.au/,,
Heart Research Institute,Heart Research Institute,https://www.hri.org.au/,"7 Eliza Street, Newtown NSW 2042",
HMC Capital,HMC Capital,https://www.hmccapital.com.au/,"Level 7, 1 Macquarie Place, Sydney NSW 2000",
Horten Medical,Horten Medical,http://www.hortenmedical.com.au/,"The Connectory, 701-703 Parramatta Road, Leichhardt NSW 2040",
Hunton�Executive Recruitment and Consulting Pty Ltd,Hunton�Executive Recruitment and Consulting Pty Ltd,https://www.huntonexecutive.com/,,
ide�Group,ide�Group,https://ide.group/,"701-703 Parramatta Rd, Leichhardt NSW 2040 AUS",
,ide�Group,,"Stationsplein 45, Unit D2.113, 3013 AK Rotterdam NLD",
,ide�Group,,"5066 West Chester Pike, Newtown Square PA 19073 USA",
IDT Australia Ltd,IDT Australia Ltd,http://www.idtaus.com.au/,"45 Wadhurst Drive, Boronia, Victoria 3155 Australia",
Illumina Australia Pty Ltd,Illumina Australia Pty Ltd,http://www.illumina.com/,"5200 Illumina Way, San Diego, CA 92122",
Immuron Limited,Immuron Limited,http://www.immuron.com/,"Building 10, 25-37 Chapman Street, Blackburn North, VIC 3131 Australia",
Immutep Limited,Immutep Limited,http://www.immutep.com/,"Level 32, Suite 32.07 Australia Square, 264 George Street, Sydney, NSW 2000, Australia",
,Immutep Limited,,"Parc Les Algorithmes, B�timent 7- Le Pythagore, Route de l�Orme - RD128, 91190 SAINT-AUBIN France",
,Immutep Limited,,"Glinkastr. 28, 10117 Berlin Germany",
ImpactXHealth,ImpactXHealth,https://www.impactxhealth.com/,,
Imugene Ltd,Imugene Ltd,http://www.imugene.com/,"Suite 12.01, Level 12, 4-6 Bligh Street, SYDNEY, NSW 2000 AUSTRALIA",
Increment4,Increment4,https://increment4.com/,,
Indigo Advisory,Indigo Advisory,https://www.indigoadvisorygroup.com/,"450 Lexington Ave, 4th Fl., NY, NY 10017",
Ingham Institute for Applied Medical Research,Ingham Institute for Applied Medical Research,http://www.inghaminstitute.org.au/,"1 Campbell Street, Liverpool NSW 2170",
InhaleRx Ltd,InhaleRx Ltd,https://inhalerx.com.au/,"Level 5, 126 Phillip Street, SYDNEY NSW 2000",
"Innovation & Commercialisation Services, The University of Adelaide","Innovation & Commercialisation Services, The University of Adelaide",http://www.adelaide.edu.au/ics,,
INOVIQ Limited,INOVIQ Limited,http://www.inoviq.com/,"23 Normanby Road, Notting Hill VIC 3168 Australia",
Institute for Glycomics,Institute for Glycomics,https://www.griffith.edu.au/institute-glycomics,,
"Institute for Molecular Bioscience,�The University of Queensland","Institute for Molecular Bioscience,�The University of Queensland",,,
