Investor,Invested in Australian Biotech,Website,LinkedIn,Biotech Areas Invested
QIC (Queensland Investment Corporation),Yes,https://www.qic.com/,https://www.linkedin.com/company/qic/?originalSubdomain=au,Information not available
Samsara BioCapital,No,https://www.samsaracap.com/,https://www.linkedin.com/company/samsara-biocapital/,Information not available
Seventure Partners,No,https://www.seventure.fr/en/,https://www.linkedin.com/company/seventure-partners/,From seed to growth capital
SR One,No,https://www.srone.com/,https://www.linkedin.com/company/sr-one/,Information not available
Surveyor Capital,No,https://www.citadel.com/what-we-do/equities/surveyor-capital/,https://www.linkedin.com/company/surveyor-capital/,Information not available
SymBiosis,No,https://symbiosis.vc/,https://www.linkedin.com/company/symbiosiscapitalmanagement/,pre-IND to commercialization
Tetragon Financial Group,No,https://www.tetragoninv.com/,https://www.linkedin.com/company/tetragoninv/,Information not available
venBio,No,https://www.venbio.com/,https://www.linkedin.com/company/venbio-partners/,"Early to late-stage biotechnology, healthcare, and pharmaceutical companies"
Vickers Venture Partners,No,https://www.vickersventure.com/,https://www.linkedin.com/company/vickers-venture-partners/,"Early to late-stage companies in biotechnology, healthcare, and e-commerce sectors"
Walleye Capital,No,https://www.walleyecapital.com/,https://www.linkedin.com/company/walleyecapital/,Early to late-stage biotechnology and healthcare companies
