Category,Companies,Description,Website1,Location,Contact 1,Contact 2,,,,
Companies developing Advanced Medicines,Tessara Therapeutics,"TTX-001 off-the shelf dopamine replacement micro tissue therapy, at Jumar incubator",www.tessaratherapeutics.com,Melbourne,,Christos Papadimitriou,,,,
Companies developing Advanced Medicines,BioOra,,,NZ,,,,,,
Companies developing Advanced Medicines,VivaZome,mRNA delivery in exosomes,https://vivazome.com/,Melbourne,,Xenia Sango,,,,
TGA licensed GMP facilities (and process development),Aegros,blood derived medicinal products,https://aegros.com.au/,Sydney,,Stephen Mahler,,,,
TGA licensed GMP facilities (and process development),Biocina,Plasmid DNA,https://biocina.com/,Adelaide,,Mark Womack,,,,
TGA licensed GMP facilities (and process development),Bioviros (NZ - not TGA),,https://bioviros.com/,New Zealand,,,,,,
TGA licensed GMP facilities (and process development),Cell Therapies Pty Ltd,,www.celltherapies.com.au,Melbourne,,Jennifer Hollands,,,,
TGA licensed GMP facilities (and process development),Cell & Tissue Therapies Western Australia (CTTWA),,,Perth,,Zlatibor Velickovic,,,,
TGA licensed GMP facilities (and process development),CSL Ltd,"GMP licenses are for biologics, and perhaps virus production, not for cell therapy or gene therapy production yet",,Melbourne,,Christopher Alma,,,,
TGA licensed GMP facilities (and process development),IDT Australia,Industrial scale manufacture incl. fill-finish. No CGT as yet but can do mRNA encapsulation and fill finish.,https://en.idtaus.com.au/,Melbourne,,,,,,
TGA licensed GMP facilities (and process development),OrthoCell Ltd,,,Perth,,,,,,
TGA licensed GMP facilities (and process development),Patheon by Thermo Fisher,GMP licenses are for biologics not for cell therapy or gene therapy production yet,,Brisbane,,,,,,
TGA licensed GMP facilities (and process development),Q-Gen Cell Therapies,,,Brisbane,,,,,,
TGA licensed GMP facilities (and process development),Royal Brisbane and Women's ,,,,,Cheryl Hutchins,,,,
Process development only facilities,"Centre of Excellence in Cellular Immunotherapies, Peter Mac","Australian IP Accelerator, Commonwealth-funded",,,,,,,,
Process development only facilities,Centre for Advanced Therapies (CAT) at Royal Perth Hospital,launch November 2023,,,,,,,,
Process development only facilities,CSIRO - Recombinant Protein Production and Purification Facility,"This is, or should be cGMP compliant/TGA licensed",https://www.csiro.au/en/work-with-us/use-our-labs-facilities/recombinant-protein-facility,,,John Power,,,,
Process development only facilities,Phenomics Australia,,https://phenomicsaustralia.org.au/,Canberra,,,,,,
Process development only facilities,Q-Gen Translational Research Institute,GMP in 2025,https://www.tri.edu.au/translationalmanufacturing,Brisbane,,David Crowley?,,,,
Process development only facilities,University of Queensland/CCRM Australia,ESTABLISHING,,,,,,,,
non TGA licensed phase 0/1 manufacture facilities,Alfred Hospital,"Skin Bioengineering Lab, upgrading and building cell therapy facility, to be completed 2024",,,,Shiva Akbarzadeh,,,,
non TGA licensed phase 0/1 manufacture facilities,"Cell & Molecular Therapies, Royal Prince Alfred Hospital",dose preparation for clinical trials and market approved use,https://slhd.health.nsw.gov.au/rpa-hospital-research/cell-molecular-therapies,Sydney,,Sharon Sagnella,,,,
non TGA licensed phase 0/1 manufacture facilities,Hudson Institute Cell Therapy and Regenerative Medicine Platform (Hudson Institute),,cord blood for preterm cerebral palsy (Monash),Melbourne,,,,,,
non TGA licensed phase 0/1 manufacture facilities,National Biologics Facility,process development and Phase I manufacture,https://www.nationalbiologicsfacility.com/,Brisbane,,,,,,
non TGA licensed phase 0/1 manufacture facilities,Southern RNA,pDNA and mRNA manufacture,https://southernrna.com.au/,Brisbane,,Steven Krause,,,,
non TGA licensed phase 0/1 manufacture facilities,St Vincent's Institute,"pancreatic islet cell processing, for St V Melbourne, Royal Adelaide and Westmead",https://www.svi.edu.au/research/collaborative-programs/the-tom-mandel-islet-transplant-program/,Melbourne,,Tom Loudovaris,,,,
non TGA licensed phase 0/1 manufacture facilities,St Vincent's Sydney?,cell therapy facility announced 14th Feb 2024�.,,Sydney,,,,,,
non TGA licensed phase 0/1 manufacture facilities,WEHI,"viral manufacture - vaccine, CAR-T cell therapy manufacturing on the horizon",,,,,,,,
non TGA licensed phase 0/1 manufacture facilities,Viral Vector Manufacturing Facility Pty Ltd,Clinical scale viral vector manufacturing (AAV and LVV) going for TGA licensing 2024. Currently undergoing licensing for Miltenyi CAR T process.,https://sydneycellandgenetherapy.org/,Sydney,,Leighton Clancy/Sue MacLeman,,,,jo.karra@live.com.au
Advanced Medicine tools providers - with physical presence in Australia,AKESA,clinical trial supply and patient centric access solution provider,https://akesagroup.com/,Melbourne,,Karen Montgomery-Douglas,,,,
Advanced Medicine tools providers - with physical presence in Australia,Advanced Robotics for Manufacturing Hub (ARM Hub),"Robotics, AI and design-led manufacturing",https://armhub.com.au/,Brisbane,,,,,,
Advanced Medicine tools providers - with physical presence in Australia,Bio-Strategy Ltd,workflow automation,https://www.bio-strategy.com.au/,Melbourne,,Vince Marrazzo,,,,
Advanced Medicine tools providers - with physical presence in Australia,Celleo,"GMP equipment for formulation, fill finish, bioreactor development",https://celleo.com/,Melbourne,,David Kneen,,,,
Advanced Medicine tools providers - with physical presence in Australia,Concr,AI/machine learning diagnostics,https://concr.co/,Brisbane,,,,,,
Advanced Medicine tools providers - with physical presence in Australia,CULTURON ,TC coating for assay development and standardising cell culture,https://www.culturon.com.au/,Sydney,,Stuart Fraser,,,,
Advanced Medicine tools providers - with physical presence in Australia,Cytiva,,www.cytivalifesciences.com,Sydney,,Janet Macpherson,,,,
Advanced Medicine tools providers - with physical presence in Australia,Messenger Bio,mRNA synthesis for preclinical discovery,https://www.messenger.bio/,Melbourne,,Denzil Furtado,,,,
Advanced Medicine tools providers - with physical presence in Australia,Miltenyi Biotec,"bioreactor, media and cell sorting",www.miltenyi.com,Sydney,,Matt Banfield,,,,
Advanced Medicine tools providers - with physical presence in Australia,Sartorius ,"growth factors, cytokines, media, process development, bioreactor, fill-finish",https://www.sartorius.com/en,Brisbane,,Ali Abdelghany,,,,
Advanced Medicine tools providers - with physical presence in Australia,STEMCELL Technologies,"media, cell dissociation/isolation, genome editing, supplement, cryopreservation",www.stemcell.com,Melbourne,,Cyndy Nauer,,,,
Advanced Medicine tools providers - with physical presence in Australia,Scinogy,cGMP compliant devices for cell washing and harvesting,https://www.scinogy.com/,Melbourne,,,,,,
Advanced Medicine tools providers - with physical presence in Australia,Biorad,,https://www.bio-rad.com/,,,,,,,
Advanced Medicine tools providers - with physical presence in Australia,GenScript,,https://www.genscript.com/,,,,,,,
Advanced Medicine tools providers - with physical presence in Australia,Eppendorf,"environmental monitoring, pumps, connectors, tubing, freezers, chemicals, consumables",www.eppendorf.com,,,,,,,
Advanced Medicine tools providers - with physical presence in Australia,Invetech,,https://www.invetechgroup.com/,,,,,,,
Advanced Medicine tools providers - with physical presence in Australia,In Vitro Technologies,,www.invitro.com.au,,,Daina Elliott,,,,
Advanced Medicine tools providers - with physical presence in Australia,Peprotech,,,,,,,,,
Advanced Medicine tools providers - with physical presence in Australia,Inventia Life Science,,www.inventia.life,Sydney,,Jeremy Dobrowolski,,,,
Advanced Medicine tools providers - with physical presence in Australia,LONZA,,www.lonzaboiscience.com.au,,,Chong-Meng Chai,,,,
Advanced Medicine tools providers - with physical presence in Australia,Merck Group,continuous bioprocessing and QC,https://www.merckgroup.com/au-en/expertise/life-science/pharma-biotech.html,Melbourne,,,,,,
Advanced Medicine tools providers - with physical presence in Australia,Peprotech (purchased Thermo),cGMP recombinant proteins,,,,,,,,
Advanced Medicine tools providers - with physical presence in Australia,Thermofisher,,www.thermofisher.com.au,Sydney,,Sylvie Shen,,,,
Advanced Medicine tools providers - with physical presence in Australia,TissueGnostics,"spatial phenotyping, single cell analysis, molecular single cell profiling, machine-learning based tissue classification",https://tissuegnostics.com/,Brisbane,,,,,,
Advanced Medicine tools providers - with physical presence in Australia,Terumo BCT,,www.terumobct.com,sydney,,Babak Jafari,,,,
Advanced Medicine tools providers - with physical presence in Australia,Scientifix Pty. Ltd.,,www.scientifix.com.au,Melbourne,,Nikki Tsoudis,,,,
INTERNATIONAL BUT KNOWN TO SPONSOR,ABER Instruments,viable cell density in bioreactor,https://aberinstruments.com/biotech/,,,David Anderson,,,,
INTERNATIONAL BUT KNOWN TO SPONSOR,ACRO Biosystems,"recombinant proteins, media, cytokines, PK, QC, Toxicity, pharmacodynamic, potency assays",https://www.acrobiosystems.com/,,,Spencer Chiang,,,,
INTERNATIONAL BUT KNOWN TO SPONSOR,CellVec,CDMO viral vector manufacture,https://cellvec.com/,,,,,,,
INTERNATIONAL BUT KNOWN TO SPONSOR,Pfansteihl,"cGMP produced, high purity, injectable grade excipients and bioprocessing solutions ",https://pfanstiehl.com/,,,Hem Sunder Reddy,,,,
INTERNATIONAL BUT KNOWN TO SPONSOR,ToolGen,gene editing,http://www.toolgen.com/eng,,,,,,,
INTERNATIONAL BUT KNOWN TO SPONSOR,SGS Vitrology,viral screening for pharmaceutical release,https://www.sgs.com/en/service-groups/biosafety-and-characterization-testing-solutions-for-biologics,,,Philippe Grimm,,,,
Non cell therapy manufacture applications,AusGeneX,research and diagnostics bovine serum products,https://www.ausgenex.com/,Gold Coast,,,,,,
Non cell therapy manufacture applications,Heuros,Technology for cultured meat products,https://www.heuros.com/,Brisbane,,,,,,
Non cell therapy manufacture applications,Gelomics,"3D tissue culture models in a matter of minutes.
Reproducible, cost-effective, and highly predictive of human biology",https://www.gelomics.com/,Brisbane,,,,,,
Clinical CRO,Alithia Life Sciences,,https://alithialifesciences.com/,Melbourne,,Tina Soulis,,,,
Clinical CRO,Genomics for Life,"organoid pathology service, genetic testing",https://www.genomicsforlife.com.au/,Brisbane,,,,,,
Clinical CRO,IQVIA,,,Sydney,,Michelle Ng,,,,
Clinical CRO,Syneos,,,,,,,,,
Clinical CRO,Novotec,,https://novotech-cro.com/,,,,,,,
Clinical CRO,Greenlight,,,,,,,,,
Clinical CRO,Analytical CRO,,,,,,,,,
Clinical CRO,Eurofins,,,Sydney,,Fergus O'Connell,,,,
Clinical CRO,Charles river laboratories (acquired Microgenetix 2018),"microbial detection/identification, endoxtoxin, NGS",https://www.criver.com/microbial-solutions-facility-melbourne-australia,Melbourne,,Jeremy White,,,,
Clinical CRO,Supply chain services,,,,,,,,,
Clinical CRO,World Courier AmerisouceBergen,,,,,,,,,
Clinical CRO,CryoPDP,,www.cryopdp.com,Brisbane,,Kim Alexander,,,,
Commercialisation strategy,Biointelect Pty Ltd,,https://www.biointelect.com/,Sydney,,Carolyn Austin,,,,
Commercialisation strategy,Decode Science Pty Ltd,business development support,https://decodescience.com.au/,Sydney,,Daina Elliott,,,,
Commercialisation strategy,Regulatory consulting,,,,,,,,,
Commercialisation strategy,Asia Pacific Consultants Pty. Ltd.,,https://www.a-p-c.com.au/services/gmp-and-quality-systems/,Sydney,,,,,,
Commercialisation strategy,Beyond Drug Development,,https://www.beyonddrugdev.com/,,,,,,,
Commercialisation strategy,Biointelect Pty Ltd,,https://www.biointelect.com/,Sydney,,Carolyn Austin,,,,
Commercialisation strategy,CBE (Centre for Biopharmaceutical Excellence),at Jumar Incubator,https://cbe-ap.com.au/,Melbourne,,Rachel Jensen,,,,
Commercialisation strategy,Increment4 Pty. Ltd.,,https://www.linkedin.com/company/increment4/,Melbourne,,Gerry McKiernan,,,,
Commercialisation strategy,Paul Fennessy Advisory,,https://www.linkedin.com/in/paul-fennessy-a559061a/?originalSubdomain=au ,Melbourne,,Paul Fennessy,,,,
Commercialisation strategy,SeerPharma,Quality and GMP,https://www.seerpharma.com/,Melbourne,,,,,,
Commercialisation strategy,Clinical consulting,,,,,,,,,
Commercialisation strategy,ProPharma Group ,,,Melbourne,,Shital Brak,,,,
Institutions treating patients with CGT pharmaceuticals,Alfred Hospital/Health,,"dendritic cells, MSC, Hemophilia GT, T cells Multiple Schlerosis, non-integrating DNA plasmid OA, allo CAR T, non-integrating DNA plasmid neuropathic pain",Melbourne,"Eric J Gowans, Daniel Chambers, Prof Huyen Tran, Kiren Kresa-Reahl, MD",,,,,
Institutions treating patients with CGT pharmaceuticals,Austin Hospital,,CAR T,Melbourne,Jane Olearo,,,,,
Institutions treating patients with CGT pharmaceuticals,Avenue Private Hospital,,ligament stem cell,Melbourne,A/Prof Eugene Ek,,,,,
Institutions treating patients with CGT pharmaceuticals,Barwon Health,,GT Osteoarthritis,Geelong,"Alison Heald, MD",,,,,
Institutions treating patients with CGT pharmaceuticals,Calvary Mater Hospital,,"hemophilia GT, CAR T",Newcastle,"John Rasko, Jane Olearo",,,,,
Institutions treating patients with CGT pharmaceuticals,Carina Biotech Investigators,,CAR T,Adelaide,,,,,,
Institutions treating patients with CGT pharmaceuticals,Children's Hospital at Westmead,,"gene modified PBMC, CAR T, allo CAR T",Sydney,"Prof Ian Alexander, Dr Kenneth Micklethwaite, Aditi Mehta, DO",,,,,
Institutions treating patients with CGT pharmaceuticals,Chris O'Brian Lifehouse,,,Sydney,Jeremy Crook,Eva Tomaskovic-Crook,,,,
Institutions treating patients with CGT pharmaceuticals,CMAX clinical research/Uni Adel,,non-integrating DNA plasmid OA,Adelaide,,,,,,
Institutions treating patients with CGT pharmaceuticals,CRISPR Tx research site,,allo CAR T,"Melbourne, Sydney","Alissa Keegan, MD",,,,,
Institutions treating patients with CGT pharmaceuticals,Dandenong Hospital,,human amnion epithelial cells ,Melbourne,Dr Rebecca Lim,,,,,
Institutions treating patients with CGT pharmaceuticals,Emeritus Research,,MSC,Melbourne,"Donna Skerrett, Stephen Hall",,,,,
Institutions treating patients with CGT pharmaceuticals,Epworth Richmond Hospital,,ligament stem cell,Melbourne,A/Prof Eugene Ek,,,,,
Institutions treating patients with CGT pharmaceuticals,Fiona Stanley Hospital,,"MSC, hemophilia GT, allo CAR T, iPSC-MSC",Perth,"Dr Stephen Honeybul, MD, John Rasko, Aditi Mehta, Jolanta Airey",,,,,
Institutions treating patients with CGT pharmaceuticals,Footscray Hospital,,iPSC-MSC,Melbourne,"Jolanta Airey, MD",,,,,
Institutions treating patients with CGT pharmaceuticals,Genesis Research Services,,non-integrating DNA plasmid neuropathic pain,Newcastle,"Howard Rutman, MD,MBA",,,,,
Institutions treating patients with CGT pharmaceuticals,Greenslopes Private Hospital/Gallipoli Medical Research Foundation,,Adoptive cell therapy,Brisbane,"Rohit Joshi, MD",,,,,
Institutions treating patients with CGT pharmaceuticals,Griffith University,,T cells Multiple Schlerosis,Brisbane,"Kiren Kresa-Reahl, MD",,,,,
Institutions treating patients with CGT pharmaceuticals,GSK Investigational site,,"Adoptive cell therapy, engineered T cells",Melbourne,Jayesh Desai,,,,,
Institutions treating patients with CGT pharmaceuticals,Lady Cilento Children's Hospital,,CAR T,Brisbane,Dr Kenneth Micklethwaite,,,,,
Institutions treating patients with CGT pharmaceuticals,Lions Eye Institute,,eye GT,Perth,Prof. P. Elizabeth Rakoczy,,,,,
Institutions treating patients with CGT pharmaceuticals,Liverpool Hospital,,T cells Multiple Schlerosis,Sydney,"Kiren Kresa-Reahl, MD",,,,,
Institutions treating patients with CGT pharmaceuticals,Melbourne Children's Trial Centre (MCTC),,,Melbourne,Andrew Davidson,Andrew Davidson,,,,
Institutions treating patients with CGT pharmaceuticals,Monash Childrens Hospital,,umbilical cord derived cells,Melbourne,Dr Atul Malhotra,,,,,
Institutions treating patients with CGT pharmaceuticals,Monash Medical Centre,,"human amnion epithelial cells, MSC",Melbourne,"Dr Rebecca Lim, Prof Thanh Phan, Roger Brown, K Segal, PhD",,,,,
Institutions treating patients with CGT pharmaceuticals,Murdoch Childrens Research Institute,,cord blood MNC for heart,Melbourne,"Salvatore Pepe and Christian P Brizard, Andrew Davidson ",,,,,
Institutions treating patients with CGT pharmaceuticals,Nepean Hospital,,iPSC-MSC,Sydney,"Jolanta Airey, MD",,,,,
Institutions treating patients with CGT pharmaceuticals,Novartis Investigational sites,,"CAR T, GT SMA ","Melbourne, Sydney, Brisbane, Perth",Dr Ian Woodcock/Melbourne,,,,,
Institutions treating patients with CGT pharmaceuticals,Olivia Newton John Hospital,,virus specific T cells,Melbourne,,,,,,
Institutions treating patients with CGT pharmaceuticals,Peter MacCallum Cancer Centre,,"CAR T, allo CAR T, allo CAR NK",Melbourne,"Jane Oliaro, Michael Dickinson, Simon Harrison, Dominic Wall",,,,,
Institutions treating patients with CGT pharmaceuticals,Prince Charles Hospital,,"virus specific T cells, MSC, allo CAR T",,"Prof Rajiv Khanna, Daniel Chambers, Aditi Mehta, DO",,,,,
Institutions treating patients with CGT pharmaceuticals,Princess Alexandra Hospital,,"dendritic cells, virus specific T cells, CAR T, GT OA",Brisbane,"Prof Rajiv Khanna, Prof Maher Gandhi",,,,,
Institutions treating patients with CGT pharmaceuticals,QIMR Berghofer Medical Research Institute,,virus specific T cells,Brisbane,Prof Rajiv Khanna,,,,,
Institutions treating patients with CGT pharmaceuticals,Royal Adelaide Hospital/Central Adelaide Local Health Network,,"CAR T, virus specific T cells, MSC, iPSC-MSC, hemophilia GT, allo CAR T, GT OA",Adelaide,"Prof Michael Brown, Prof Rajiv Khanna, Daniel Chambers, Kilian Kelly, John Rasko, Aditi Mehta, Alison Heald",,,,,
Institutions treating patients with CGT pharmaceuticals,Royal Brisbane Hospital,,MSC,Brisbane,Christopher James,,,,,
Institutions treating patients with CGT pharmaceuticals,Royal Brisbane & Womens Hospital ,,"virus specific T cells, CAR T, T cells Multiple Schlerosis, hemophilia GT, allo CAR T, allo CAR NK, GMP dermal grafting",Brisbane,"Prof Rajiv Khanna, Dr Siok Tey, Jason Brown",,,,,
Institutions treating patients with CGT pharmaceuticals,Royal Children's Hospital,,"CAR T, allo CAR T, cord blood MNC for heart, hemophilia GT, GT DMD, GT SMA",Melbourne,"Rachel Conyers, Theresa Cole, Dr Ian Woodcock",Ian Woodcock,,,,
Institutions treating patients with CGT pharmaceuticals,Royal Melbourne Hospital,,"CAR T, MSC, ISC-hpNSC Parkinsons Disease, GT Fabry Disease, GT Gaucher Disease, GT b-thalassemia, virus specific T cells",Melbourne, ,,,,,
Institutions treating patients with CGT pharmaceuticals,Royal North Shore Hospital ,,MSC,Sydney,Prof Lyn March,,,,,
Institutions treating patients with CGT pharmaceuticals,Royal Perth Hospital,,"CAR T, MSC, GT Fabry Disease, GT b-thalassemia, iPSC-MSC",Perth,"Dr Kenneth Micklethwaite, Dr Stephen Honeybul, MD, R.P.Herrmann, Duncan Purtill, Inderpal Panesar, Jolanta Airey",,,,,
Institutions treating patients with CGT pharmaceuticals,Royal Prince Alfred Hospital,,"dendritic cells, hemophilia GT, b-Thalassemia GT, iPSC-MSC, allo CAR T, CAR T, GT dementia, allo CAR NK, rAAV, CRISPR/Cas9, GT hereditary angioedema, GT dislipidemias",Sydney,"John Rasko, Kiren Kresa-Reahl, Olga Uspenskaya-Cadoz, David Shook",,,,,
Institutions treating patients with CGT pharmaceuticals,Royal Victorian Eye and Ear Hospital/Centre for Eye Research Australia (CERA),,"GT Leber Congenital Amaurosis, GT AMD",Melbourne,"Lauren Ayton, Tom Edwards, Dr Doron Hickey ",Lauren Ayton,,,,
Institutions treating patients with CGT pharmaceuticals,Royal Women's Hospital,,human amnion epithelial cells ,Melbourne,Dr Rebecca Lim,,,,,
Institutions treating patients with CGT pharmaceuticals,Sanofi-Aventis Administrative office,,non-integrating DNA plasmid,Sydney,,Helen Dodds,,,,
Institutions treating patients with CGT pharmaceuticals,Sir Charles Gairdner Hospital,,"MSC, allo CAR T, iPSC-MSC",Perth,"Dr Stephen Honeybul, MD, Annie Weaver, PhD, Jolanta Airey",,,,,
Institutions treating patients with CGT pharmaceuticals,Southern Oncology Clinical Research Unit (SOCRU)/Cancer Research SA (CRSA),,Adoptive cell therapy,Adelaide,"Rohit Joshi, MD",,,,,
Institutions treating patients with CGT pharmaceuticals,St John of God Hospital,,ligament stem cell,Perth,A/Prof Eugene Ek,,,,,
Institutions treating patients with CGT pharmaceuticals,St. Vincent's Hospital ,,"Prostate cancer GT, MSC, CAR T, allo CAR NK, virus specific T cells",Sydney,"David N Dalley, Daniel Chambers, Jane Oliaro, David Shook",,,,,
Institutions treating patients with CGT pharmaceuticals,Sunshine Hospital,,iPSC-MSC,Melbourne,"Jolanta Airey, MD",,,,,
Institutions treating patients with CGT pharmaceuticals,Sydney Children's Hospital/Network,,"CAR T, GT SMA",Sydney,A/Prof David Ziegler,,,,,
Institutions treating patients with CGT pharmaceuticals,Sydney Eye Hospital and Save Sight Institute,,GT Leber Congenital Amaurosis ,Sydney,John Grigg,,,,,
Institutions treating patients with CGT pharmaceuticals,Queensland Childrens Hospital,,virus specific T cells,Brisbane,,,,,,
Institutions treating patients with CGT pharmaceuticals,University of Sydney,,Tumour Antigen�Cellular�Therapy,Sydney,Dr Emily Blyth,,,,,
Institutions treating patients with CGT pharmaceuticals,Wesley Hospital,,virus specific T cells,Brisbane,Prof Rajiv Khanna,,,,,
Institutions treating patients with CGT pharmaceuticals,Westmead Hospital/Western Sydney Local District Health,,"CAR T, allo CAR T, hemophilia GT, iPSC-MSC, virus specific T cells, GT OTC Deficiency, GT DMD",Sydney,"Dr Kenneth Micklethwaite, Aditi Mehta, DO, John Rasko, Jolanta Airey",,,,,
Institutions treating patients with CGT pharmaceuticals,Womens and Childrens Hospital,,"CAR T, Cerebral Adrenoleukodystrophy GT, Sanfilippo GT",Adelaide,"Simon C Barry, Nicholas Smith, MD",Simon Barry,,,,
Approved commercial treatment centres,Royal Childrens Hospital,,Kymriah for relapsing/refractory acute lymphoblastic leukaemia in those aged 25 and under,Melbourne,,,,,,
Approved commercial treatment centres,Peter MacCallum Cancer Centre,,Kymriah for relapsing/refractory acute lymphoblastic leukaemia in those aged 25 and under,Melbourne,,,,,,
Approved commercial treatment centres,Alfred Health,,Kymriah for relapsing/refractory acute lymphoblastic leukaemia in those aged 25 and under,Melbourne,,,,,,
Approved commercial treatment centres,Peter MacCallum Cancer Centre,,Kymriah for relapsing/refractory adult diffuse large B-cell lymphoma,Melbourne,,,,,,
Approved commercial treatment centres,Alfred Health,,Kymriah for relapsing/refractory adult diffuse large B-cell lymphoma,Melbourne,,,,,,
Approved commercial treatment centres,Peter MacCallum Cancer Centre,,"Yescarta�, for treating relapsing/refractory adult diffuse large B-cell lymphoma",Melbourne,,,,,,
Approved commercial treatment centres,Alfred Health,,"Yescarta�, for treating relapsing/refractory adult diffuse large B-cell lymphoma",Melbourne,,,,,,
Approved commercial treatment centres,Peter MacCallum Cancer Centre,,"Tecartus�, for treating relapsed/refractory mantle cell lymphoma",Melbourne,,,,,,
Approved commercial treatment centres,Alfred Health,,"Tecartus�, for treating relapsed/refractory mantle cell lymphoma",Melbourne,,,,,,
Approved commercial treatment centres,Royal Victorian Eye and Ear Hospital,,"Luxturna�, for treating inherited retinal dystrophies",Melbourne,,,,,,
Approved commercial treatment centres,"Sydney Children's Hospital, Randwick",,Kymriah for acute lymphoblastic leukaemia (< 18 years old),Sydney,,,,,,
Approved commercial treatment centres,The Children�s Hospital at Westmead,,Kymriah for acute lymphoblastic leukaemia (< 18 years old),Sydney,,,,,,
Approved commercial treatment centres,Royal Prince Alfred Hospital,,CAR T for diffuse large B-cell lymphoma,Sydney,,,,,,
Approved commercial treatment centres,Westmead Hospital,,CAR T for diffuse large B-cell lymphoma,Sydney,,,,,,
Approved commercial treatment centres,Royal Prince Alfred Hospital,,CAR T for acute lymphoblastic leukaemia (? 18 years ? 25 years old),Sydney,,,,,,
Approved commercial treatment centres,Westmead Hospital,,CAR T for acute lymphoblastic leukaemia (? 18 years ? 25 years old),Sydney,,,,,,
Approved commercial treatment centres,Darwin commercial site�.,,,Darwin,,,,,,
Approved commercial treatment centres,Cairns commercial site,,,Cairns,,,,,,
Approved commercial treatment centres,Townsville commercial site,,,Townsville,,,,,,
Approved commercial treatment centres,Royal Brisbane & Women's Hospital,,,Brisbane,,,,,,
Approved commercial treatment centres,Calvary Mater Hospital,,,Newcastle,,,,,,
Approved commercial treatment centres,Canberra commercial site,,,Canberra,,,,,,
Approved commercial treatment centres,Hobart commercial site,,,Hobart,,,,,,
Approved commercial treatment centres,Adelaide commercial site,,,Adelaide,,,,,,
Approved commercial treatment centres,Fional Stanley Hospital,,,Perth,,,,,,
Commerical providers of Advanced Medicines,Gilead Science,Ex-vivo gene/cell therapy Yescarta and Tecartus.,,Sydney,,Jane Langford,,,,
Commerical providers of Advanced Medicines,Novartis Pharmaceuticals Australia Pty Ltd,In-vivo gene therapies  Zolgensma and Luxtura. �Imlygic cancelled 2021. Ex-vivo gene/cell therapy Kymriah.,,Sydney,,Monique Jonson,,,,
Commerical providers of Advanced Medicines,Janssen-Cilag,Ex-vivo gene/cell therapy Carvykti.�,,,,,,,,
Commerical providers of Advanced Medicines,Orthocell,cell therapy Ortho-ACI,,,,,,,,
Clinical trials of Advanced Medicines,Bayer,,,Sydney,,Loredana Esposito,,,,
