Category,Companies,Description,Additional Info,Location,City,Additional Info 2,Contact,Companies_full,url,Latitude,Longitude
,Acuity Capital,,,"Level 24, Three International Towers, Sydney NSW 2000,  Australia",Sydney,,,Acuity Capital,https://www.acuitycapital.com.au/,,
,Acuity Capital,,,"Level 25, 108 St Georges Terrace, Perth WA 6000, Australia",Perth,,,Acuity Capital,,-31.9545771,115.8571795
,Acuity Capital,,,"Level 23, Tower 5, Collins Square, Melbourne VIC 3008, Australia",Melbourne,,,Acuity Capital,,,
Companies developing Advanced Medicines,AdAlta Limited,CAR T,https://adalta.com.au/,"Room 204, LIMS2, La Trobe Institute of Molecular Science, Science Drive, La Trobe University VIC 3086, Australia",Melbourne,,Tim Oldham,AdAlta Limited,http://www.adalta.com.au/,,
,Adapt ldeations Pty Ltd,,,"H.No.1-89/G/36, 3rd Floor, Plot No.36, Mindspace, Shilpi Valley, Madhapur, Hyderabad  500081, India",,,,Adapt ldeations Pty Ltd,https://www.adaptideations.com/,,
,Adapt ldeations Pty Ltd,,,"34/7 Salisbury Road, Castle Hill, NSW, 2154",Sydney,,,Adapt ldeations Pty Ltd,,-33.7290613,150.9766128
,Adapt ldeations Pty Ltd,,,"1700 Post Oak Blvd. Suite 600, Houston, TX 77056",Houston,,,Adapt ldeations Pty Ltd,,,
,Adapt ldeations Pty Ltd,,,"ADAPT Ideations Global PTE LTD, 11 Beach Road #03-01, Singapore 189675",Singapore,,,Adapt ldeations Pty Ltd,,,
,Additive Manufacturing Network,,,"Suite 10, 5 Corporate Boulevard Bayswater Victoria 3153, Australia",Melbourne,,,Additive Manufacturing Network,http://amhub.net.au/,,
Approved commercial treatment centres,Adelaide commercial site,,,,Adelaide,,,,,46.3144754,11.0480288
,Adjutor Healthcare Pty Ltd,,,,,,,Adjutor Healthcare Pty Ltd,https://www.adjutor.com.au/,46.3144754,11.0480288
Other RM product developers,Admedus Ltd,,shut down?,,,,,,,46.3144754,11.0480288
Supporting initiatives,Advanced Manufacturing Growth Centre,,https://www.amgc.org.au/,,,,,,https://www.amgc.org.au/,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Advanced Robotics for Manufacturing Hub (ARM Hub),"Robotics, AI and design-led manufacturing",https://armhub.com.au/,Brisbane,,,,,https://armhub.com.au/,-27.4689682,153.0234991
TGA licensed GMP facilities (and process development),Aegros,blood derived medicinal products,https://aegros.com.au/,Sydney,,,Stephen Mahler,,https://aegros.com.au/,-33.8698439,151.2082848
,Agilex Biolabs Pty Ltd,,,"31 Dalgleish Street, Thebarton SA 5031",Adelaide,,,Agilex Biolabs Pty Ltd,https://www.agilexbiolabs.com/,-34.91202995,138.5697751
,Agilex Biolabs Pty Ltd,,,"2404 Logan Road, Eight Mile Plains QLD 4113",Brisbane,,,Agilex Biolabs Pty Ltd,,-27.5725597,153.0914631
Advanced Medicine tools providers - with physical presence in Australia,Akesa Pty Ltd,clinical trial supply and patient centric access solution provider,https://akesagroup.com/,"Level 2, 121 Flinders Lane, Melbourne VIC, Australia 3000",Melbourne,,Karen Montgomery-Douglas,Akesa Pty Ltd,https://akesagroup.com/,,
Approved commercial treatment centres,Alfred Health,,Kymriah for relapsing/refractory acute lymphoblastic leukaemia in those aged 25 and under,,Melbourne,,,,,46.3144754,11.0480288
Approved commercial treatment centres,Alfred Health,,"Yescarta, for treating relapsing/refractory adult diffuse large B-cell lymphoma",,Melbourne,,,,,46.3144754,11.0480288
Approved commercial treatment centres,Alfred Health,,"Tecartus, for treating relapsed/refractory mantle cell lymphoma",,Melbourne,,,,,46.3144754,11.0480288
non TGA licensed phase 0/1 manufacture facilities,Alfred Hospital,"Skin Bioengineering Lab, upgrading and building cell therapy facility, to be completed 2024",,,,,Shiva Akbarzadeh,,,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Alfred Hospital/Health,,"dendritic cells, MSC, Hemophilia GT, T cells Multiple Schlerosis, non-integrating DNA plasmid OA, allo CAR T, non-integrating DNA plasmid neuropathic pain",,Melbourne,"Eric J Gowans, Daniel Chambers, Prof Huyen Tran, Kiren Kresa-Reahl, MD","Eric J Gowans, Daniel Chambers, Prof Huyen Tran, Kiren Kresa-Reahl, MD",,,46.3144754,11.0480288
Companies developing Advanced Medicines,Algorae Pharmaceuticals (formerly Living Cell Technologies),alginate encapsulated  neonatal porcine choroid plexus for parkinsons transplant,https://algoraepharma.com/,,Melbourne,,,,https://algoraepharma.com/,46.3144754,11.0480288
Clinical CRO,Alithia Life Sciences Pty Ltd,,https://alithialifesciences.com/,,Melbourne,,Tina Soulis,Alithia Life Sciences Pty Ltd,http://www.alithialifesciences.com/,46.3144754,11.0480288
,Alliance for Regenerative Medicine (ARM),,,"1015 18th Street NW, Suite 1102, Washington, D.C. 20036",Washington,,,Alliance for Regenerative Medicine (ARM),https://alliancerm.org/,,
,Alliance for Regenerative Medicine (ARM),,,"2-4 Schuman Roundabout, B-1040 Brussels, Belgium",Brussels,,,Alliance for Regenerative Medicine (ARM),,,
,Almac Group,,,"Almac House, 20 Seagoe Industrial Estate, Craigavon,BT63 5QD, United Kingdom",,,,Almac Group,https://www.almacgroup.com/,,
,AlphaRET,,,"107 Rundle Street, Kent Town SA 5067",Adelaide,,,AlphaRET,https://nova-eye.com/company/alpharet/,-34.9202679,138.6188232
,Amplia Therapeutics Limited,,,"Level 17, 350 Queen Street, Melbourne VIC 3000",Melbourne,,,Amplia Therapeutics Limited,https://www.ampliatx.com/site/content/,,
Clinical CRO,Analytical CRO,,,,,,,,,46.3144754,11.0480288
Other RM product developers,Anatomics Pty Ltd,,https://www.anatomics.com/,,,,,,https://www.anatomics.com/,46.3144754,11.0480288
,ANDHealth,,,"PO Box 45, Collins Street West VIC 8007, AUSTRALIA",Melbourne,,,ANDHealth,http://andhealth.com.au/,,
,AnteoTech Ltd,,,"Unit 4, 26 Brandl Street, Brisbane Technology Park, Eight Mile Plains QLD 4113 Australia",Brisbane,,,AnteoTech Ltd,https://www.anteotech.com/,,
,Anteris Technologies,,,"Toowong Tower, Level 3, Suite 302, 9 Sherwood Road, Toowong, QLD 4066, Australia",Brisbane,,,Anteris Technologies,https://anteristech.com/,,
,Aravax,,,"Level 9, 31 Queen St, Melbourne VIC 3000, Australia",,,,Aravax,https://www.aravax.com.au/,,
Supporting initiatives,ARCS Australia Ltd.,professional organisation focused on career long professional development for its members in the therapeutic goods sector.,https://www.arcs.com.au/,,Sydney,,Tim Boyle,,https://www.arcs.com.au/,46.3144754,11.0480288
,Argenica Therapeutics Ltd,,,"4/117 Broadway, Nedlands WA 6009, Australia, PO Box 1458, West Perth WA 6872",Perth,,,Argenica Therapeutics Ltd,http://www.argenica.com.au/,,
Companies developing Advanced Medicines,Arovella Therapeutics Ltd,iNKT cell therapy,https://www.arovella.com/,"Jumar Bioincubator, 655 Elizabeth Street, Melbourne VIC 3000",Melbourne,,Nicole van der Weerden,Arovella Therapeutics Ltd,https://www.arovella.com/,,
Commercialisation strategy,Asia Pacific Consultants Pty. Ltd.,,https://www.a-p-c.com.au/services/gmp-and-quality-systems/,,Sydney,,,,https://www.a-p-c.com.au/services/gmp-and-quality-systems/,46.3144754,11.0480288
Supporting initiatives,ASSCR,To support stem cell research and encourage scientific exchange within our region,https://asscr.org/,,,,Anai Gonzalez Cordero,,https://asscr.org/,46.3144754,11.0480288
,Asteri Pharma,,,"Level 18, Collins Square Tower 4, 727 Collins St. Melbourne VIC 3008",,,,Asteri Pharma,https://www.asteripharma.com/,,
,AstraZeneca Pty Ltd,,,"47 Talavera Road, North Ryde NSW 2113",Sydney,,,AstraZeneca Pty Ltd,http://www.astrazeneca.com.au/,,
Clinical trials of Advanced Medicines,Atara Biotherapeutics,,https://www.atarabio.com/,,,,,,https://www.atarabio.com/,46.3144754,11.0480288
,Atticus Medical Pty Ltd,,,"Level 1, 18 Kavanagh St, Southbank, 3006, Victoria, AUSTRALIA",Melbourne,,,Atticus Medical Pty Ltd,https://www.atticusmed.com/about,,
,Aucentra Therapeutics,,,,,,,Aucentra Therapeutics,https://www.aucentra.com/about/,46.3144754,11.0480288
Supporting initiatives,AusBiotech,industry body representing and advocating for organisations doing business in and with the global life sciences economy.,https://www.ausbiotech.org/,,Melbourne,,Marguerite???? Evans?Galea,,https://www.ausbiotech.org/,46.3144754,11.0480288
Non cell therapy manufacture applications,AusGeneX,research and diagnostics bovine serum products,https://www.ausgenex.com/,,Gold Coast,,,,https://www.ausgenex.com/,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Austin Hospital,,CAR T,,Melbourne,Jane Olearo,Jane Olearo,,,46.3144754,11.0480288
Supporting initiatives,Australasian Gene and Cell Therapy Society,facilitate the growth and development of the field of gene and cell therapy in Australasia,https://agcts.org.au/,,,,Leszek Lisowski,,https://agcts.org.au/,46.3144754,11.0480288
Supporting initiatives,Australasian Society for Biomaterials and Tissue Engineering,"national focus for professionals who have interests in research, education, development and regulation of biomaterials, tissue engineering and medical devices.",https://www.asbte.org/,,,,Mark Allenby,,https://www.asbte.org/,46.3144754,11.0480288
Supporting initiatives,Australia and New Zealand Transplant and Cellular Therapies Ltd (ANZTCT),"society consisting of clinicians, advanced trainees, scientists, medical graduates, nurses and pharmacists, involved in the clinical or laboratory management of patients undergoing blood or marrow stem cell transplantation or with an interest in the field of blood or marrow stem cell transplantation and cellular therapies research.",https://anztct.org.au/,,,,,,https://anztct.org.au/,46.3144754,11.0480288
Companies developing Advanced Medicines,Australian Foundation for Diabetes Research,medical device containing Kadimastem produced hESC derived  islets,,Sydney,Sydney,,Bernie Tuch,,,-33.8698439,151.2082848
,Australian Institute for Bioengineering and Nanotechnology (AIBN),,,"Corner College and Cooper Rds (Bldg 75), The University of Queensland, Brisbane Qld 4072, Australia",Brisbane,,,Australian Institute for Bioengineering and Nanotechnology (AIBN),https://aibn.uq.edu.au/,,
,"Australian National University (ANU), Office of Research and Innovation Services",,,,Canberra,,,"Australian National University (ANU), Office of Research and Innovation Services",,46.3144754,11.0480288
Supporting initiatives,Australian Organoid facility,,,,,,,,,46.3144754,11.0480288
Cell and Tissue repositories,Australian Red Cross Lifeblood,,,,Brisbane,,Rebecca Griffiths,,,46.3144754,11.0480288
Research facilities,Australian Regenerative Medicine Institute,,https://www.armi.org.au/,"23 Innovation Walk, Monash University, Wellington Road, CLAYTON 3800",Melbourne,,Peter Currie,Australian Regenerative Medicine Institute,http://www.armi.org.au/,,
,Australian Trade & Investment Commission (Austrade),,,,,,,Australian Trade & Investment Commission (Austrade),http://www.austrade.gov.au/,46.3144754,11.0480288
,Avatar Brokers Pty. Limited *special member discount,,,,,,,Avatar Brokers Pty. Limited *special member discount,,46.3144754,11.0480288
,Avecho Biotechnology,,,"Unit A8, 2A Westall Road, Clayton, VIC, Australia 3168",Melbourne,,,Avecho Biotechnology,http://www.phosphagenics.com/,,
Institutions treating patients with CGT pharmaceuticals,Avenue Private Hospital,,ligament stem cell,,Melbourne,A/Prof Eugene Ek,A/Prof Eugene Ek,,,46.3144754,11.0480288
Other RM product developers,Avita Medical,point of care skin processing for transplant,https://avitamedical.com/,,Perth,,,,https://avitamedical.com/,46.3144754,11.0480288
,Baker Heart & Diabetes Institute,,,"PO Box 6492, Melbourne Victoria 3004, Australia",Melbourne,,,Baker Heart & Diabetes Institute,https://baker.edu.au/,,
Institutions treating patients with CGT pharmaceuticals,Barwon Health,,GT Osteoarthritis,,,"Alison Heald, MD","Alison Heald, MD",,,46.3144754,11.0480288
,Base Bio Consulting Pty Ltd,,,,,,,Base Bio Consulting Pty Ltd,https://www.basebio.com.au/,46.3144754,11.0480288
Clinical trials of Advanced Medicines,Bayer,,,,Sydney,,Loredana Esposito,,,46.3144754,11.0480288
,Bellberry Limited,,,"123 Glen Osmond Road Eastwood Adelaide, South Australia 5063",Adelaide,,,Bellberry Limited,http://www.bellberry.com.au/,-34.9406421,138.6160258
,Bellberry Limited,,,"Level 39, Rialto South Tower 525 Collins Street, Melbourne Victoria 3000",Melbourne,,,Bellberry Limited,,,
Commercialisation strategy,Beyond Drug Development,,https://www.beyonddrugdev.com/,,,,,,https://www.beyonddrugdev.com/,46.3144754,11.0480288
,Billard Leece Partnership,,,"Level 20/485 La Trobe Street, Melbourne, Victoria 3000",Melbourne,,,Billard Leece Partnership,https://www.blp.com.au/,,
,Billard Leece Partnership,,,"Level 6/72-80 Cooper Street, Surry Hills, NSW 2010",Sydney,,,Billard Leece Partnership,,,
,Billard Leece Partnership,,,"HQ, Level 6, 520 Wickham St, Fortitude Valley QLD 4006",Brisbane,,,Billard Leece Partnership,,,
,Bio101 Group Pty Ltd,,,"Suite 201/697 Burke Road, Camberwell VIC 3124, Australia",Melbourne,,,Bio101 Group Pty Ltd,https://www.bio101.com/,,
,"Bio21 Molecular Science & Biotechnology Institute, University of Melbourne",,,"30 Flemington Road, Parkville, Melbourne, Victoria",Melbourne,,,"Bio21 Molecular Science & Biotechnology Institute, University of Melbourne",https://www.bio21.unimelb.edu.au/,-37.7978347,144.9537755
TGA licensed GMP facilities (and process development),Biocina,Plasmid DNA,https://biocina.com/,,Adelaide,,Mark Womack,,https://biocina.com/,46.3144754,11.0480288
Supporting initiatives,BioCurate,grow the Victorian and Australian biotech sector by translating medical research outputs into high quality preclinical candidates for the bio-pharmaceutical industry.,https://www.biocurate.com/,"Level 2, 700 Swanston Street, Carlton Victoria 3053, Australia",Melbourne,,,BioCurate Pty Ltd,http://www.biocurate.com/,,
,BioDiem Ltd,,,"Level 4, 100 Albert Road, South Melbourne, Victoria 3205",Melbourne,,,BioDiem Ltd,http://www.biodiem.com/,,
Clinical trials of Advanced Medicines,Biogen Inc,,,,,,,,,46.3144754,11.0480288
Commercialisation strategy,Biointelect Pty Ltd,,https://www.biointelect.com/,"Level 4, 143 Macquarie Street, Sydney NSW Australia 2000",Sydney,,Carolyn Austin,Biointelect Pty Ltd,http://www.biointelect.com/,,
Clinical trials of Advanced Medicines,BioMarin Pharmaceutical Inc.,,,,,,,,,46.3144754,11.0480288
,BiomeBank,,,,,,,BiomeBank,https://www.biomebank.com/,46.3144754,11.0480288
,BioMelbourne Network,,,"Level 6, HWT Tower, 40 City Road, Southbank VIC 3006",Melbourne,,,BioMelbourne Network,http://www.biomelbourne.org/,,
,Bionics Queensland,,,,,,,Bionics Queensland,http://www.bionicsqueensland.com.au/,46.3144754,11.0480288
Companies developing Advanced Medicines,BioNTech,,,,,,,,,46.3144754,11.0480288
Companies developing Advanced Medicines,BioOra,,,NZ,,,,,,-41.5000831,172.8344077
Supporting initiatives,Bioplatforms Australia,"omics technologies in support of all life science researchers working across human health, agriculture, biodiversity and industry.",https://bioplatforms.com/,,Sydney,,,,https://bioplatforms.com/,46.3144754,11.0480288
Supporting initiatives,BioProcessing Network,"association of scientists, engineers, students and others interested in fostering and advancing the knowledge and understanding of the technical aspects of the biotechnology industry.",https://www.bioprocessingnetwork.org.au/,,,,,,https://www.bioprocessingnetwork.org.au/,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Bio-Rad Laboratories Pty Ltd,,https://www.bio-rad.com/,"A.B.N. 27 001 843 803, Unit 1A, 62 Ferndell Street, South Granville NSW 2142, Australia",Sydney,,,Bio-Rad Laboratories Pty Ltd,http://www.bio-rad.com/,,
Funding sources,Bioscience Managers Pty Ltd,,https://biosciencemanagers.com/,"BioScience Managers Pty Ltd, Level 5, 45 William Street, MELBOURNE VIC 3000",Melbourne,,,BioScience Managers Pty Ltd,http://www.biosciencemanagers.com/,,
Advanced Medicine tools providers - with physical presence in Australia,Bio-Strategy Ltd,workflow automation,https://www.bio-strategy.com.au/,Melbourne,Melbourne,,Vince Marrazzo,,https://www.bio-strategy.com.au/,-37.8142454,144.9631732
,Biotech Daily,,,"PO Box 5000, Carlton, Victoria, Australia 3053",Melbourne,,,Biotech Daily,http://www.biotechdaily.com.au/,,
,BIOTech New Zealand,,,BIOTech New Zealand c/o NZTech PO Box 302469 North Harbour Auckland 0751,Auckland,,,BIOTech New Zealand,https://biotechnz.org.nz/,,
,BioTech Primer Inc.,,,,,,,BioTech Primer Inc.,http://biotechprimer.com/,46.3144754,11.0480288
,Biotron Limited,,,"Suite 3.3, 56 Delhi Road, North Ryde NSW 2113, Australia",Sydney,,,Biotron Limited,http://www.biotron.com.au/,,
TGA licensed GMP facilities (and process development),Bioviros (NZ - not TGA),,https://bioviros.com/,New Zealand,,,,,https://bioviros.com/,-41.5000831,172.8344077
,Blue Print Life Science Group,,,"1180 North Town Center Drive, Suite 100, Las Vegas, Nevada 89144",Las Vegas,,,Blue Print Life Science Group,http://www.bplifescience.com/,,
Cell and Tissue repositories,BMDI Cord Blood Bank (AusCord),,,,Melbourne,,Ngaire Elwood,,,46.3144754,11.0480288
,Brandon Capital,,,"Suite 2.05, 1 York Street, Sydney NSW 2000",Sydney,,,Brandon Capital,,,
,Brandon Capital,,,"1 Letterman Ave, Suite C3-330, San Francisco, CA 94129",San Francisco,,,Brandon Capital,,,
,Brandon Capital,,,"The Gridiron Building, 1 Pancras Square, Kings Cross, London N1C 4AG, United Kingdom",London,,,Brandon Capital,,,
Funding sources,Brandon Capital Partners Pty Ltd,,,"Level 9, 31 Queen Street, Melbourne VIC 3000",Melbourne,,,Brandon Capital,http://www.brandoncapital.vc/,,
,BR-Angels Pty Ltd,,,"538 Funchal Street  16th Floor, Vila Olimpia  04551-060, Sao Paulo SP",San Paulo,,,BR-Angels Pty Ltd,https://brangels.global/,,
,Bridge Investment Research,,,,,,,Bridge Investment Research,https://chriskallos.com.au/,46.3144754,11.0480288
,Bristol Myers Squibb (Australia) Pty Ltd,,,"Level 2, 4 Nexus Court, Mulgrave VIC 3170",Melbourne,,,Bristol Myers Squibb (Australia) Pty Ltd,http://www.bmsa.com.au/,,
,Brooker Consulting,,,"Level 25, 500 Collins Street, Melbourne VIC 3000",Melbourne,,,Brooker Consulting,http://www.brookerconsulting.com.au/,,
,BSI Group ANZ Pty Ltd,,,"Suite 1, Level 1, 54 Waterloo Road, Macquarie Park NSW 2113, Australia",Sydney,,,BSI Group ANZ Pty Ltd,https://www.bsigroup.com/en-AU/Medical-Devices/,,
,Burnet Institute,,,"85 Commercial Road, Melbourne, Victoria 3004, Australia",Melbourne,,,Burnet Institute,http://www.burnet.edu.au/,,
,Business Events Sydney,,,"Level 20, 100 William Street, Sydney, NSW, 2011, Australia",Sydney,,,Business Events Sydney,http://www.businesseventssydney.com.au/,,
Approved commercial treatment centres,Cairns commercial site,,,,Cairns,,,,,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Calvary Mater Hospital,,"hemophilia GT, CAR T",,Newcastle,"John Rasko, Jane Olearo","John Rasko, Jane Olearo",,,46.3144754,11.0480288
Approved commercial treatment centres,Calvary Mater Hospital,,,,Newcastle,,,,,46.3144754,11.0480288
,Cambium Bio Limited,,,,,,,Cambium Bio Limited,https://www.cambium.bio/,46.3144754,11.0480288
,Canary Regulatory Affairs,,,"Level 17, 31 Queen St, Melbourne, VIC 3000",Melbourne,,,Canary Regulatory Affairs,https://canaryregulatory.com/,,
Approved commercial treatment centres,Canberra commercial site,,,,Canberra,,,,,46.3144754,11.0480288
,Cancer Trials Australia,,,"305 Grattan Street, Melbourne, VIC, 3000",Melbourne,,,Cancer Trials Australia,http://www.cancertrialsaustralia.com/,-37.7999274,144.9562153
Companies developing Advanced Medicines,Cancure,allogeneic T cell immunotherapy,https://cancure.com/,,Gold Coast,,Craig Miles,,https://cancure.com/,46.3144754,11.0480288
Companies developing Advanced Medicines,Carina Biotech,CAR T,http://carinabiotech.com,"Level 2, Ian Wark (IW) Building, UniSA Mawson Lakes Campus, Mawson Lakes 5095, South Australia",Adelaide,,Jane Rathjen,,http://carinabiotech.com,,
Institutions treating patients with CGT pharmaceuticals,Carina Biotech Investigators,,CAR T,"Level 2, Ian Wark (IW) Building, UniSA Mawson Lakes Campus, Mawson Lakes 5095, South Australia",Adelaide,,,,,,
Companies developing Advanced Medicines,Cartherics,iPSC derived CAR T,www.cartherics.com,,Melbourne,,Nicholas Boyd,,www.cartherics.com,46.3144754,11.0480288
,Catalyst Clinical Research,,,"2528 Independence Blvd, Suite 100, Wilmington, NC 28412",Wilmington,,,Catalyst Clinical Research,https://catalystcr.com/,,
,Catalyst Clinical Research,,,"6 Post Office Square, Clinton, CT 06413",Clinton,,,Catalyst Clinical Research,,41.27875675,-72.52724246
,Catalyst Clinical Research,,,"303 Wyman Street, Suite 300, Waltham, MA 02451",,,,Catalyst Clinical Research,,,
,Catalyst Clinical Research,,,"Alderley Park, Block 11, Alderley Edge, SK10 4ZF, UK",,,,Catalyst Clinical Research,,,
,Catalyst Clinical Research,,,"Schiphol Boulevard 359, 1118 BJ Schiphol, The Netherlands",,,,Catalyst Clinical Research,,52.3075237,4.7567933
,Catalyst Clinical Research,,,"Second Floor, Nila Building, Technopark Campus, Thiruvananthapuram , Kerala 695581",,,,Catalyst Clinical Research,,,
,Catalyst Clinical Research,,,"8B Tower 1, Transasia, Cyber Park Infopark, Phase 2, Kochi, Kerala 682303",,,,Catalyst Clinical Research,,,
,Catalyst Clinical Research,,,"Office 105, Level 10, 222 Exhibition St, Melbourne, Victoria 3000",Melbourne,,,Catalyst Clinical Research,,,
Commercialisation strategy,CBE (Centre for Biopharmaceutical Excellence),at Jumar Incubator,https://cbe-ap.com.au/,"5 William Street, Ferntree Gully VIC Australia 3156",Melbourne,,Rachel Jensen,,https://cbe-ap.com.au/,,
Supporting initiatives,CCRM Australia,"accelerates regenerative medicine commercialisation by connecting stakeholders, providing funding, expertise, and access to cutting-edge process development and manufacturing facilities.",https://ccrmaustralia.com.au/,,Melbourne,,Silvio Tiziani,,https://ccrmaustralia.com.au/,46.3144754,11.0480288
Clinical trials of Advanced Medicines,Celgene Corp,,,,,,,,,46.3144754,11.0480288
non TGA licensed phase 0/1 manufacture facilities,"Cell & Molecular Therapies, Royal Prince Alfred Hospital",dose preparation for clinical trials and market approved use,https://slhd.health.nsw.gov.au/rpa-hospital-research/cell-molecular-therapies,,Sydney,,Sharon Sagnella,,https://slhd.health.nsw.gov.au/rpa-hospital-research/cell-molecular-therapies,46.3144754,11.0480288
TGA licensed GMP facilities (and process development),Cell & Tissue Therapies Western Australia (CTTWA),,,,Perth,,Zlatibor Velickovic,,,46.3144754,11.0480288
Supporting initiatives,Cell and Gene Therapy Catalyst,accelerate Australias cell and gene industry and ensure everyone in Australia has access to advanced therapeutics,https://www.ausbiotech.org/programs/australias-cell-and-gene-catalyst,,Melbourne,,Marguerite???? Evans?Galea,,https://www.ausbiotech.org/programs/australias-cell-and-gene-catalyst,46.3144754,11.0480288
TGA licensed GMP facilities (and process development),Cell Therapies Pty Ltd,,www.celltherapies.com.au,"Level 9, 305 Grattan Street, Melbourne, VIC,3000, Australia",Melbourne,,Jennifer Hollands,,www.celltherapies.com.au,,
,Cellabs Pty Ltd,,,"7/27 Dale Street, Brookvale 2100, Sydney, NSW, AUSTRALIA",Sydney,,,Cellabs Pty Ltd,http://www.cellabs.com.au/,-33.763182,151.2687893
Cell and Tissue repositories,Cellcare,,www.cellcare.com.au,,,,,,www.cellcare.com.au,46.3144754,11.0480288
Advanced Medicine tools providers - with physical presence in Australia,Celleo,"GMP equipment for formulation, fill finish, bioreactor development",https://celleo.com/,,Melbourne,,David Kneen,,https://celleo.com/,46.3144754,11.0480288
INTERNATIONAL BUT KNOWN TO SPONSOR,CellVec,CDMO viral vector manufacture,https://cellvec.com/,,,,,,https://cellvec.com/,46.3144754,11.0480288
Companies developing Advanced Medicines,Celosia Therapeutics Pty Ltd,gene therapy ALS/MND/LGD/AD/dementia/dravet syndrome,https://celosiatx.com/,,,,Brenton Hamdorf,,https://celosiatx.com/,46.3144754,11.0480288
,Cencora PharmaLex,,,"Suite 4, Level 10, 1 Chandos Street, St Leonards NSW 2065, Australia",Sydney,,,Cencora PharmaLex,https://www.pharmalex.com/,,
Research facilities,Centenary Institute (Gene and Stem Cell Therapy Program),,,"Building 93 Royal Prince Alfred Hospital, Missenden Rd Camperdown NSW 2050 Australia",Sydney,,John Rasko,,,,
Process development only facilities,Centre for Advanced Therapies (CAT) at Royal Perth Hospital,launch November 2023,,,,,,,,46.3144754,11.0480288
Research facilities,Centre for Eye Research Australia,,,,Melbourne,,Keith Martin,,,46.3144754,11.0480288
Process development only facilities,"Centre of Excellence in Cellular Immunotherapies, Peter Mac","Australian IP Accelerator, Commonwealth-funded",,,,,,,,46.3144754,11.0480288
,Cerecin Australia Pty Ltd,,,"102 Fox Drive, Dandenong 3175, Victoria, Australia",Melbourne,,,Cerecin Australia Pty Ltd,https://cerecin.com/,-38.0557736,145.2248097
,Certa Therapeutics,,,,,,,Certa Therapeutics,http://www.certatherapeutics.com/,46.3144754,11.0480288
Clinical CRO,Charles river laboratories (acquired Microgenetix 2018),"microbial detection/identification, endoxtoxin, NGS",https://www.criver.com/microbial-solutions-facility-melbourne-australia,,Melbourne,,Jeremy White,,https://www.criver.com/microbial-solutions-facility-melbourne-australia,46.3144754,11.0480288
Institutions treating patients with CGT pharmaceuticals,Children's Hospital at Westmead,,"gene modified PBMC, CAR T, allo CAR T",Sydney,,"Prof Ian Alexander, Dr Kenneth Micklethwaite, Aditi Mehta, DO","Prof Ian Alexander, Dr Kenneth Micklethwaite, Aditi Mehta, DO",,,-33.8698439,151.2082848
Research facilities,Childrens Medical Research Institute (CMRI),,,"214 Hawkesbury Road, Westmead NSW 2145, Australia",Sydney,,Anai Gonzalez Cordero,,,-33.8079363,150.9871593
Companies developing Advanced Medicines,Chimeric Therapeutics Ltd,CAR-T and CAR-NK,https://chimerictherapeutics.com/,Sydney/US,Sydney,,Jennifer Chow,,https://chimerictherapeutics.com/,27.9633563,-82.2073118
